('There is a aardvark in indiana.', 'A aardvark can be found in purdue university.', False)
("Abagael doesn't like reading in san francisco.", "Abagael doesn't like san francisco.", False)
("Abagael doesn't like reading in san francisco.", 'Abagael likes reading in san francisco.', False)
("Abagael doesn't like writing in indiana.", "Abagael doesn't like writing.", False)
("Abagael doesn't like writing in indiana.", "Abagael doesn't like indiana.", False)
("Abagael doesn't like writing in indiana.", 'Abagael likes writing in indiana.', False)
("Abagael doesn't like writing in purdue university.", "Abagael doesn't like writing.", False)
("Abagael doesn't like writing in purdue university.", "Abagael doesn't like purdue university.", False)
("Abagael doesn't like writing in purdue university.", 'Abagael likes writing in purdue university.', False)
("Abagael doesn't like writing in chicago.", "Abagael doesn't like writing.", False)
("Abagael doesn't like writing in chicago.", "Abagael doesn't like chicago.", False)
("Abagael doesn't like writing in chicago.", 'Abagael likes writing in chicago.', False)
("Abagael doesn't like writing in paris.", "Abagael doesn't like writing.", False)
("Abagael doesn't like writing in paris.", "Abagael doesn't like paris.", False)
("Abagael doesn't like writing in paris.", 'Abagael likes writing in paris.', False)
("Abagael doesn't like writing in new york.", "Abagael doesn't like writing.", False)
("Abagael doesn't like writing in new york.", "Abagael doesn't like new york.", False)
("Abagael doesn't like writing in new york.", 'Abagael likes writing in new york.', False)
("Abagael doesn't like writing in london.", "Abagael doesn't like writing.", False)
("Abagael doesn't like writing in london.", "Abagael doesn't like london.", False)
("Abagael doesn't like writing in london.", 'Abagael likes writing in london.', False)
("Abagael doesn't like writing in michigan.", "Abagael doesn't like writing.", False)
("Abagael doesn't like writing in michigan.", "Abagael doesn't like michigan.", False)
("Abagael doesn't like writing in michigan.", 'Abagael likes writing in michigan.', False)
("Abagael doesn't like writing in hong kong.", "Abagael doesn't like writing.", False)
("Abagael doesn't like writing in hong kong.", "Abagael doesn't like hong kong.", False)
("Abagael doesn't like writing in hong kong.", 'Abagael likes writing in hong kong.', False)
("Abagael doesn't like writing in san francisco.", "Abagael doesn't like writing.", False)
("Abagael doesn't like writing in san francisco.", "Abagael doesn't like san francisco.", False)
("Abagael doesn't like writing in san francisco.", 'Abagael likes writing in san francisco.', False)
("Abagael doesn't like singing in indiana.", "Abagael doesn't like singing.", False)
("Abagael doesn't like singing in indiana.", "Abagael doesn't like indiana.", False)
("Abagael doesn't like singing in indiana.", 'Abagael likes singing in indiana.', False)
("Abagael doesn't like singing in purdue university.", "Abagael doesn't like singing.", False)
("Abagael doesn't like singing in purdue university.", "Abagael doesn't like purdue university.", False)
("Abagael doesn't like singing in purdue university.", 'Abagael likes singing in purdue university.', False)
("Abagael doesn't like singing in chicago.", "Abagael doesn't like singing.", False)
("Abagael doesn't like singing in chicago.", "Abagael doesn't like chicago.", False)
("Abagael doesn't like singing in chicago.", 'Abagael likes singing in chicago.', False)
("Abagael doesn't like singing in paris.", "Abagael doesn't like singing.", False)
("Abagael doesn't like singing in paris.", "Abagael doesn't like paris.", False)
("Abagael doesn't like singing in paris.", 'Abagael likes singing in paris.', False)
("Abagael doesn't like singing in new york.", "Abagael doesn't like singing.", False)
("Abagael doesn't like singing in new york.", "Abagael doesn't like new york.", False)
("Abagael doesn't like singing in new york.", 'Abagael likes singing in new york.', False)
("Abagael doesn't like singing in london.", "Abagael doesn't like singing.", False)
("Abagael doesn't like singing in london.", "Abagael doesn't like london.", False)
("Abagael doesn't like singing in london.", 'Abagael likes singing in london.', False)
("Abagael doesn't like singing in michigan.", "Abagael doesn't like singing.", False)
("Abagael doesn't like singing in michigan.", "Abagael doesn't like michigan.", False)
("Abagael doesn't like singing in michigan.", 'Abagael likes singing in michigan.', False)
("Abagael doesn't like singing in hong kong.", "Abagael doesn't like singing.", False)
("Abagael doesn't like singing in hong kong.", "Abagael doesn't like hong kong.", False)
("Abagael doesn't like singing in hong kong.", 'Abagael likes singing in hong kong.', False)
("Abagael doesn't like singing in san francisco.", "Abagael doesn't like singing.", False)
("Abagael doesn't like singing in san francisco.", "Abagael doesn't like san francisco.", False)
("Abagael doesn't like singing in san francisco.", 'Abagael likes singing in san francisco.', False)
("Abagael doesn't like hanging out in indiana.", "Abagael doesn't like hanging out.", False)
("Abagael doesn't like hanging out in indiana.", "Abagael doesn't like indiana.", False)
("Abagael doesn't like hanging out in indiana.", 'Abagael likes hanging out in indiana.', False)
("Abagael doesn't like hanging out in purdue university.", "Abagael doesn't like hanging out.", False)
("Abagael doesn't like hanging out in purdue university.", "Abagael doesn't like purdue university.", False)
("Abagael doesn't like hanging out in purdue university.", 'Abagael likes hanging out in purdue university.', False)
("Abagael doesn't like hanging out in chicago.", "Abagael doesn't like hanging out.", False)
("Abagael doesn't like hanging out in chicago.", "Abagael doesn't like chicago.", False)
("Abagael doesn't like hanging out in chicago.", 'Abagael likes hanging out in chicago.', False)
("Abagael doesn't like hanging out in paris.", "Abagael doesn't like hanging out.", False)
("Abagael doesn't like hanging out in paris.", "Abagael doesn't like paris.", False)
("Abagael doesn't like hanging out in paris.", 'Abagael likes hanging out in paris.', False)
("Abagael doesn't like hanging out in new york.", "Abagael doesn't like hanging out.", False)
("Abagael doesn't like hanging out in new york.", "Abagael doesn't like new york.", False)
("Abagael doesn't like hanging out in new york.", 'Abagael likes hanging out in new york.', False)
("Abagael doesn't like hanging out in london.", "Abagael doesn't like hanging out.", False)
("Abagael doesn't like hanging out in london.", "Abagael doesn't like london.", False)
("Abagael doesn't like hanging out in london.", 'Abagael likes hanging out in london.', False)
("Abagael doesn't like hanging out in michigan.", "Abagael doesn't like hanging out.", False)
("Abagael doesn't like hanging out in michigan.", "Abagael doesn't like michigan.", False)
("Abagael doesn't like hanging out in michigan.", 'Abagael likes hanging out in michigan.', False)
("Abagael doesn't like hanging out in hong kong.", "Abagael doesn't like hanging out.", False)
("Abagael doesn't like hanging out in hong kong.", "Abagael doesn't like hong kong.", False)
("Abagael doesn't like hanging out in hong kong.", 'Abagael likes hanging out in hong kong.', False)
("Abagael doesn't like hanging out in san francisco.", "Abagael doesn't like hanging out.", False)
("Abagael doesn't like hanging out in san francisco.", "Abagael doesn't like san francisco.", False)
("Abagael doesn't like hanging out in san francisco.", 'Abagael likes hanging out in san francisco.', False)
("Abagael doesn't like watching movies in indiana.", "Abagael doesn't like watching movies.", False)
("Abagael doesn't like watching movies in indiana.", "Abagael doesn't like indiana.", False)
("Abagael doesn't like watching movies in indiana.", 'Abagael likes watching movies in indiana.', False)
("Abagael doesn't like watching movies in purdue university.", "Abagael doesn't like watching movies.", False)
("Abagael doesn't like watching movies in purdue university.", "Abagael doesn't like purdue university.", False)
("Abagael doesn't like watching movies in purdue university.", 'Abagael likes watching movies in purdue university.', False)
("Abagael doesn't like watching movies in chicago.", "Abagael doesn't like watching movies.", False)
("Abagael doesn't like watching movies in chicago.", "Abagael doesn't like chicago.", False)
("Abagael doesn't like watching movies in chicago.", 'Abagael likes watching movies in chicago.', False)
("Abagael doesn't like watching movies in paris.", "Abagael doesn't like watching movies.", False)
("Abagael doesn't like watching movies in paris.", "Abagael doesn't like paris.", False)
("Abagael doesn't like watching movies in paris.", 'Abagael likes watching movies in paris.', False)
("Abagael doesn't like watching movies in new york.", "Abagael doesn't like watching movies.", False)
("Abagael doesn't like watching movies in new york.", "Abagael doesn't like new york.", False)
("Abagael doesn't like watching movies in new york.", 'Abagael likes watching movies in new york.', False)
("Abagael doesn't like watching movies in london.", "Abagael doesn't like watching movies.", False)
("Abagael doesn't like watching movies in london.", "Abagael doesn't like london.", False)
("Abagael doesn't like watching movies in london.", 'Abagael likes watching movies in london.', False)
("Abagael doesn't like watching movies in michigan.", "Abagael doesn't like watching movies.", False)
("Abagael doesn't like watching movies in michigan.", "Abagael doesn't like michigan.", False)
("Abagael doesn't like watching movies in michigan.", 'Abagael likes watching movies in michigan.', False)
("Abagael doesn't like watching movies in hong kong.", "Abagael doesn't like watching movies.", False)
("Abagael doesn't like watching movies in hong kong.", "Abagael doesn't like hong kong.", False)
("Abagael doesn't like watching movies in hong kong.", 'Abagael likes watching movies in hong kong.', False)
("Abagael doesn't like watching movies in san francisco.", "Abagael doesn't like watching movies.", False)
("Abagael doesn't like watching movies in san francisco.", "Abagael doesn't like san francisco.", False)
("Abagael doesn't like watching movies in san francisco.", 'Abagael likes watching movies in san francisco.', False)
("Abagael doesn't like living in indiana.", "Abagael doesn't like living.", False)
("Abagael doesn't like living in indiana.", "Abagael doesn't like indiana.", False)
("Abagael doesn't like living in indiana.", 'Abagael likes living in indiana.', False)
("Abagael doesn't like living in purdue university.", "Abagael doesn't like living.", False)
("Abagael doesn't like living in purdue university.", "Abagael doesn't like purdue university.", False)
("Abagael doesn't like living in purdue university.", 'Abagael likes living in purdue university.', False)
("Abagael doesn't like living in chicago.", "Abagael doesn't like living.", False)
("Abagael doesn't like living in chicago.", "Abagael doesn't like chicago.", False)
("Abagael doesn't like living in chicago.", 'Abagael likes living in chicago.', False)
("Abagael doesn't like living in paris.", "Abagael doesn't like living.", False)
("Abagael doesn't like living in paris.", "Abagael doesn't like paris.", False)
("Abagael doesn't like living in paris.", 'Abagael likes living in paris.', False)
("Abagael doesn't like living in new york.", "Abagael doesn't like living.", False)
("Abagael doesn't like living in new york.", "Abagael doesn't like new york.", False)
("Abagael doesn't like living in new york.", 'Abagael likes living in new york.', False)
("Abagael doesn't like living in london.", "Abagael doesn't like living.", False)
("Abagael doesn't like living in london.", "Abagael doesn't like london.", False)
("Abagael doesn't like living in london.", 'Abagael likes living in london.', False)
("Abagael doesn't like living in michigan.", "Abagael doesn't like living.", False)
("Abagael doesn't like living in michigan.", "Abagael doesn't like michigan.", False)
("Abagael doesn't like living in michigan.", 'Abagael likes living in michigan.', False)
("Abagael doesn't like living in hong kong.", "Abagael doesn't like living.", False)
("Abagael doesn't like living in hong kong.", "Abagael doesn't like hong kong.", False)
("Abagael doesn't like living in hong kong.", 'Abagael likes living in hong kong.', False)
("Abagael doesn't like living in san francisco.", "Abagael doesn't like living.", False)
("Abagael doesn't like living in san francisco.", "Abagael doesn't like san francisco.", False)
("Abagael doesn't like living in san francisco.", 'Abagael likes living in san francisco.', False)
("Abagael doesn't like working in indiana.", "Abagael doesn't like working.", False)
("Abagael doesn't like working in indiana.", "Abagael doesn't like indiana.", False)
("Abagael doesn't like working in indiana.", 'Abagael likes working in indiana.', False)
("Abagael doesn't like working in purdue university.", "Abagael doesn't like working.", False)
("Abagael doesn't like working in purdue university.", "Abagael doesn't like purdue university.", False)
("Abagael doesn't like working in purdue university.", 'Abagael likes working in purdue university.', False)
("Abagael doesn't like working in chicago.", "Abagael doesn't like working.", False)
("Abagael doesn't like working in chicago.", "Abagael doesn't like chicago.", False)
("Abagael doesn't like working in chicago.", 'Abagael likes working in chicago.', False)
("Abagael doesn't like working in paris.", "Abagael doesn't like working.", False)
("Abagael doesn't like working in paris.", "Abagael doesn't like paris.", False)
("Abagael doesn't like working in paris.", 'Abagael likes working in paris.', False)
("Abagael doesn't like working in new york.", "Abagael doesn't like working.", False)
("Abagael doesn't like working in new york.", "Abagael doesn't like new york.", False)
("Abagael doesn't like working in new york.", 'Abagael likes working in new york.', False)
("Abagael doesn't like working in london.", "Abagael doesn't like working.", False)
("Abagael doesn't like working in london.", "Abagael doesn't like london.", False)
("Abagael doesn't like working in london.", 'Abagael likes working in london.', False)
("Abagael doesn't like working in michigan.", "Abagael doesn't like working.", False)
("Abagael doesn't like working in michigan.", "Abagael doesn't like michigan.", False)
("Abagael doesn't like working in michigan.", 'Abagael likes working in michigan.', False)
("Abagael doesn't like working in hong kong.", "Abagael doesn't like working.", False)
("Abagael doesn't like working in hong kong.", "Abagael doesn't like hong kong.", False)
("Abagael doesn't like working in hong kong.", 'Abagael likes working in hong kong.', False)
("Abagael doesn't like working in san francisco.", "Abagael doesn't like working.", False)
("Abagael doesn't like working in san francisco.", "Abagael doesn't like san francisco.", False)
("Abagael doesn't like working in san francisco.", 'Abagael likes working in san francisco.', False)
("Abagael doesn't like dancing in indiana.", "Abagael doesn't like dancing.", False)
("Abagael doesn't like dancing in indiana.", "Abagael doesn't like indiana.", False)
("Abagael doesn't like dancing in indiana.", 'Abagael likes dancing in indiana.', False)
("Abagael doesn't like dancing in purdue university.", "Abagael doesn't like dancing.", False)
("Abagael doesn't like dancing in purdue university.", "Abagael doesn't like purdue university.", False)
("Abagael doesn't like dancing in purdue university.", 'Abagael likes dancing in purdue university.', False)
("Abagael doesn't like dancing in chicago.", "Abagael doesn't like dancing.", False)
("Abagael doesn't like dancing in chicago.", "Abagael doesn't like chicago.", False)
("Abagael doesn't like dancing in chicago.", 'Abagael likes dancing in chicago.', False)
("Abagael doesn't like dancing in paris.", "Abagael doesn't like dancing.", False)
("Abagael doesn't like dancing in paris.", "Abagael doesn't like paris.", False)
("Abagael doesn't like dancing in paris.", 'Abagael likes dancing in paris.', False)
("Abagael doesn't like dancing in new york.", "Abagael doesn't like dancing.", False)
("Abagael doesn't like dancing in new york.", "Abagael doesn't like new york.", False)
("Abagael doesn't like dancing in new york.", 'Abagael likes dancing in new york.', False)
("Abagael doesn't like dancing in london.", "Abagael doesn't like dancing.", False)
("Abagael doesn't like dancing in london.", "Abagael doesn't like london.", False)
("Abagael doesn't like dancing in london.", 'Abagael likes dancing in london.', False)
("Abagael doesn't like dancing in michigan.", "Abagael doesn't like dancing.", False)
("Abagael doesn't like dancing in michigan.", "Abagael doesn't like michigan.", False)
("Abagael doesn't like dancing in michigan.", 'Abagael likes dancing in michigan.', False)
("Abagael doesn't like dancing in hong kong.", "Abagael doesn't like dancing.", False)
("Abagael doesn't like dancing in hong kong.", "Abagael doesn't like hong kong.", False)
("Abagael doesn't like dancing in hong kong.", 'Abagael likes dancing in hong kong.', False)
("Abagael doesn't like dancing in san francisco.", "Abagael doesn't like dancing.", False)
("Abagael doesn't like dancing in san francisco.", "Abagael doesn't like san francisco.", False)
("Abagael doesn't like dancing in san francisco.", 'Abagael likes dancing in san francisco.', False)
("Abagail doesn't like walking in indiana.", "Abagail doesn't like walking.", False)
("Abagail doesn't like walking in indiana.", "Abagail doesn't like indiana.", False)
("Abagail doesn't like walking in indiana.", 'Abagail likes walking in indiana.', False)
("Abagail doesn't like walking in purdue university.", "Abagail doesn't like walking.", False)
("Abagail doesn't like walking in purdue university.", "Abagail doesn't like purdue university.", False)
("Abagail doesn't like walking in purdue university.", 'Abagail likes walking in purdue university.', False)
("Abagail doesn't like walking in chicago.", "Abagail doesn't like walking.", False)
("Abagail doesn't like walking in chicago.", "Abagail doesn't like chicago.", False)
("Abagail doesn't like walking in chicago.", 'Abagail likes walking in chicago.', False)
("Abagail doesn't like walking in paris.", "Abagail doesn't like walking.", False)
("Abagail doesn't like walking in paris.", "Abagail doesn't like paris.", False)
("Abagail doesn't like walking in paris.", 'Abagail likes walking in paris.', False)
("Abagail doesn't like walking in new york.", "Abagail doesn't like walking.", False)
("Abagail doesn't like walking in new york.", "Abagail doesn't like new york.", False)
("Abagail doesn't like walking in new york.", 'Abagail likes walking in new york.', False)
("Abagail doesn't like walking in london.", "Abagail doesn't like walking.", False)
("Abagail doesn't like walking in london.", "Abagail doesn't like london.", False)
("Abagail doesn't like walking in london.", 'Abagail likes walking in london.', False)
("Abagail doesn't like walking in michigan.", "Abagail doesn't like walking.", False)
("Abagail doesn't like walking in michigan.", "Abagail doesn't like michigan.", False)
("Abagail doesn't like walking in michigan.", 'Abagail likes walking in michigan.', False)
("Abagail doesn't like walking in hong kong.", "Abagail doesn't like walking.", False)
("Abagail doesn't like walking in hong kong.", "Abagail doesn't like hong kong.", False)
("Abagail doesn't like walking in hong kong.", 'Abagail likes walking in hong kong.', False)
("Abagail doesn't like walking in san francisco.", "Abagail doesn't like walking.", False)
("Abagail doesn't like walking in san francisco.", "Abagail doesn't like san francisco.", False)
("Abagail doesn't like walking in san francisco.", 'Abagail likes walking in san francisco.', False)
("Abagail doesn't like running in indiana.", "Abagail doesn't like running.", False)
("Abagail doesn't like running in indiana.", "Abagail doesn't like indiana.", False)
("Abagail doesn't like running in indiana.", 'Abagail likes running in indiana.', False)
("Abagail doesn't like running in purdue university.", "Abagail doesn't like running.", False)
("Abagail doesn't like running in purdue university.", "Abagail doesn't like purdue university.", False)
("Abagail doesn't like running in purdue university.", 'Abagail likes running in purdue university.', False)
("Abagail doesn't like running in chicago.", "Abagail doesn't like running.", False)
("Abagail doesn't like running in chicago.", "Abagail doesn't like chicago.", False)
("Abagail doesn't like running in chicago.", 'Abagail likes running in chicago.', False)
("Abagail doesn't like running in paris.", "Abagail doesn't like running.", False)
("Abagail doesn't like running in paris.", "Abagail doesn't like paris.", False)
("Abagail doesn't like running in paris.", 'Abagail likes running in paris.', False)
("Abagail doesn't like running in new york.", "Abagail doesn't like running.", False)
("Abagail doesn't like running in new york.", "Abagail doesn't like new york.", False)
("Abagail doesn't like running in new york.", 'Abagail likes running in new york.', False)
("Abagail doesn't like running in london.", "Abagail doesn't like running.", False)
("Abagail doesn't like running in london.", "Abagail doesn't like london.", False)
("Abagail doesn't like running in london.", 'Abagail likes running in london.', False)
("Abagail doesn't like running in michigan.", "Abagail doesn't like running.", False)
("Abagail doesn't like running in michigan.", "Abagail doesn't like michigan.", False)
("Abagail doesn't like running in michigan.", 'Abagail likes running in michigan.', False)
("Abagail doesn't like running in hong kong.", "Abagail doesn't like running.", False)
("Abagail doesn't like running in hong kong.", "Abagail doesn't like hong kong.", False)
("Abagail doesn't like running in hong kong.", 'Abagail likes running in hong kong.', False)
("Abagail doesn't like running in san francisco.", "Abagail doesn't like running.", False)
("Abagail doesn't like running in san francisco.", "Abagail doesn't like san francisco.", False)
("Abagail doesn't like running in san francisco.", 'Abagail likes running in san francisco.', False)
("Abagail doesn't like eating in indiana.", "Abagail doesn't like eating.", False)
("Abagail doesn't like eating in indiana.", "Abagail doesn't like indiana.", False)
("Abagail doesn't like eating in indiana.", 'Abagail likes eating in indiana.', False)
("Abagail doesn't like eating in purdue university.", "Abagail doesn't like eating.", False)
("Abagail doesn't like eating in purdue university.", "Abagail doesn't like purdue university.", False)
("Abagail doesn't like eating in purdue university.", 'Abagail likes eating in purdue university.', False)
("Abagail doesn't like eating in chicago.", "Abagail doesn't like eating.", False)
("Abagail doesn't like eating in chicago.", "Abagail doesn't like chicago.", False)
("Abagail doesn't like eating in chicago.", 'Abagail likes eating in chicago.', False)
("Abagail doesn't like eating in paris.", "Abagail doesn't like eating.", False)
("Abagail doesn't like eating in paris.", "Abagail doesn't like paris.", False)
("Abagail doesn't like eating in paris.", 'Abagail likes eating in paris.', False)
("Abagail doesn't like eating in new york.", "Abagail doesn't like eating.", False)
("Abagail doesn't like eating in new york.", "Abagail doesn't like new york.", False)
("Abagail doesn't like eating in new york.", 'Abagail likes eating in new york.', False)
("Abagail doesn't like eating in london.", "Abagail doesn't like eating.", False)
("Abagail doesn't like eating in london.", "Abagail doesn't like london.", False)
("Abagail doesn't like eating in london.", 'Abagail likes eating in london.', False)
("Abagail doesn't like eating in michigan.", "Abagail doesn't like eating.", False)
("Abagail doesn't like eating in michigan.", "Abagail doesn't like michigan.", False)
("Abagail doesn't like eating in michigan.", 'Abagail likes eating in michigan.', False)
("Abagail doesn't like eating in hong kong.", "Abagail doesn't like eating.", False)
("Abagail doesn't like eating in hong kong.", "Abagail doesn't like hong kong.", False)
("Abagail doesn't like eating in hong kong.", 'Abagail likes eating in hong kong.', False)
("Abagail doesn't like eating in san francisco.", "Abagail doesn't like eating.", False)
("Abagail doesn't like eating in san francisco.", "Abagail doesn't like san francisco.", False)
("Abagail doesn't like eating in san francisco.", 'Abagail likes eating in san francisco.', False)
("Abagail doesn't like drinking in indiana.", "Abagail doesn't like drinking.", False)
("Abagail doesn't like drinking in indiana.", "Abagail doesn't like indiana.", False)
("Abagail doesn't like drinking in indiana.", 'Abagail likes drinking in indiana.', False)
("Abagail doesn't like drinking in purdue university.", "Abagail doesn't like drinking.", False)
("Abagail doesn't like drinking in purdue university.", "Abagail doesn't like purdue university.", False)
("Abagail doesn't like drinking in purdue university.", 'Abagail likes drinking in purdue university.', False)
("Abagail doesn't like drinking in chicago.", "Abagail doesn't like drinking.", False)
("Abagail doesn't like drinking in chicago.", "Abagail doesn't like chicago.", False)
("Abagail doesn't like drinking in chicago.", 'Abagail likes drinking in chicago.', False)
("Abagail doesn't like drinking in paris.", "Abagail doesn't like drinking.", False)
("Abagail doesn't like drinking in paris.", "Abagail doesn't like paris.", False)
("Abagail doesn't like drinking in paris.", 'Abagail likes drinking in paris.', False)
("Abagail doesn't like drinking in new york.", "Abagail doesn't like drinking.", False)
("Abagail doesn't like drinking in new york.", "Abagail doesn't like new york.", False)
("Abagail doesn't like drinking in new york.", 'Abagail likes drinking in new york.', False)
("Abagail doesn't like drinking in london.", "Abagail doesn't like drinking.", False)
("Abagail doesn't like drinking in london.", "Abagail doesn't like london.", False)
("Abagail doesn't like drinking in london.", 'Abagail likes drinking in london.', False)
("Abagail doesn't like drinking in michigan.", "Abagail doesn't like drinking.", False)
("Abagail doesn't like drinking in michigan.", "Abagail doesn't like michigan.", False)
("Abagail doesn't like drinking in michigan.", 'Abagail likes drinking in michigan.', False)
("Abagail doesn't like drinking in hong kong.", "Abagail doesn't like drinking.", False)
("Abagail doesn't like drinking in hong kong.", "Abagail doesn't like hong kong.", False)
("Abagail doesn't like drinking in hong kong.", 'Abagail likes drinking in hong kong.', False)
("Abagail doesn't like drinking in san francisco.", "Abagail doesn't like drinking.", False)
("Abagail doesn't like drinking in san francisco.", "Abagail doesn't like san francisco.", False)
("Abagail doesn't like drinking in san francisco.", 'Abagail likes drinking in san francisco.', False)
("Abagail doesn't like drawing in indiana.", "Abagail doesn't like drawing.", False)
("Abagail doesn't like drawing in indiana.", "Abagail doesn't like indiana.", False)
("Abagail doesn't like drawing in indiana.", 'Abagail likes drawing in indiana.', False)
("Abagail doesn't like drawing in purdue university.", "Abagail doesn't like drawing.", False)
("Abagail doesn't like drawing in purdue university.", "Abagail doesn't like purdue university.", False)
("Abagail doesn't like drawing in purdue university.", 'Abagail likes drawing in purdue university.', False)
("Abagail doesn't like drawing in chicago.", "Abagail doesn't like drawing.", False)
("Abagail doesn't like drawing in chicago.", "Abagail doesn't like chicago.", False)
("Abagail doesn't like drawing in chicago.", 'Abagail likes drawing in chicago.', False)
("Abagail doesn't like drawing in paris.", "Abagail doesn't like drawing.", False)
("Abagail doesn't like drawing in paris.", "Abagail doesn't like paris.", False)
("Abagail doesn't like drawing in paris.", 'Abagail likes drawing in paris.', False)
("Abagail doesn't like drawing in new york.", "Abagail doesn't like drawing.", False)
("Abagail doesn't like drawing in new york.", "Abagail doesn't like new york.", False)
("Abagail doesn't like drawing in new york.", 'Abagail likes drawing in new york.', False)
("Abagail doesn't like drawing in london.", "Abagail doesn't like drawing.", False)
("Abagail doesn't like drawing in london.", "Abagail doesn't like london.", False)
("Abagail doesn't like drawing in london.", 'Abagail likes drawing in london.', False)
("Abagail doesn't like drawing in michigan.", "Abagail doesn't like drawing.", False)
("Abagail doesn't like drawing in michigan.", "Abagail doesn't like michigan.", False)
("Abagail doesn't like drawing in michigan.", 'Abagail likes drawing in michigan.', False)
("Abagail doesn't like drawing in hong kong.", "Abagail doesn't like drawing.", False)
("Abagail doesn't like drawing in hong kong.", "Abagail doesn't like hong kong.", False)
("Abagail doesn't like drawing in hong kong.", 'Abagail likes drawing in hong kong.', False)
("Abagail doesn't like drawing in san francisco.", "Abagail doesn't like drawing.", False)
("Abagail doesn't like drawing in san francisco.", "Abagail doesn't like san francisco.", False)
("Abagail doesn't like drawing in san francisco.", 'Abagail likes drawing in san francisco.', False)
("Abagail doesn't like sculpting in indiana.", "Abagail doesn't like sculpting.", False)
("Abagail doesn't like sculpting in indiana.", "Abagail doesn't like indiana.", False)
("Abagail doesn't like sculpting in indiana.", 'Abagail likes sculpting in indiana.', False)
("Abagail doesn't like sculpting in purdue university.", "Abagail doesn't like sculpting.", False)
("Abagail doesn't like sculpting in purdue university.", "Abagail doesn't like purdue university.", False)
("Abagail doesn't like sculpting in purdue university.", 'Abagail likes sculpting in purdue university.', False)
("Abagail doesn't like sculpting in chicago.", "Abagail doesn't like sculpting.", False)
("Abagail doesn't like sculpting in chicago.", "Abagail doesn't like chicago.", False)
("Abagail doesn't like sculpting in chicago.", 'Abagail likes sculpting in chicago.', False)
("Abagail doesn't like sculpting in paris.", "Abagail doesn't like sculpting.", False)
("Abagail doesn't like sculpting in paris.", "Abagail doesn't like paris.", False)
("Abagail doesn't like sculpting in paris.", 'Abagail likes sculpting in paris.', False)
("Abagail doesn't like sculpting in new york.", "Abagail doesn't like sculpting.", False)
("Abagail doesn't like sculpting in new york.", "Abagail doesn't like new york.", False)
("Abagail doesn't like sculpting in new york.", 'Abagail likes sculpting in new york.', False)
("Abagail doesn't like sculpting in london.", "Abagail doesn't like sculpting.", False)
("Abagail doesn't like sculpting in london.", "Abagail doesn't like london.", False)
("Abagail doesn't like sculpting in london.", 'Abagail likes sculpting in london.', False)
("Abagail doesn't like sculpting in michigan.", "Abagail doesn't like sculpting.", False)
("Abagail doesn't like sculpting in michigan.", "Abagail doesn't like michigan.", False)
("Abagail doesn't like sculpting in michigan.", 'Abagail likes sculpting in michigan.', False)
("Abagail doesn't like sculpting in hong kong.", "Abagail doesn't like sculpting.", False)
("Abagail doesn't like sculpting in hong kong.", "Abagail doesn't like hong kong.", False)
("Abagail doesn't like sculpting in hong kong.", 'Abagail likes sculpting in hong kong.', False)
("Abagail doesn't like sculpting in san francisco.", "Abagail doesn't like sculpting.", False)
("Abagail doesn't like sculpting in san francisco.", "Abagail doesn't like san francisco.", False)
("Abagail doesn't like sculpting in san francisco.", 'Abagail likes sculpting in san francisco.', False)
("Abagail doesn't like painting in indiana.", "Abagail doesn't like painting.", False)
("Abagail doesn't like painting in indiana.", "Abagail doesn't like indiana.", False)
("Abagail doesn't like painting in indiana.", 'Abagail likes painting in indiana.', False)
("Abagail doesn't like painting in purdue university.", "Abagail doesn't like painting.", False)
("Abagail doesn't like painting in purdue university.", "Abagail doesn't like purdue university.", False)
("Abagail doesn't like painting in purdue university.", 'Abagail likes painting in purdue university.', False)
("Abagail doesn't like painting in chicago.", "Abagail doesn't like painting.", False)
("Abagail doesn't like painting in chicago.", "Abagail doesn't like chicago.", False)
("Abagail doesn't like painting in chicago.", 'Abagail likes painting in chicago.', False)
("Abagail doesn't like painting in paris.", "Abagail doesn't like painting.", False)
("Abagail doesn't like painting in paris.", "Abagail doesn't like paris.", False)
("Abagail doesn't like painting in paris.", 'Abagail likes painting in paris.', False)
("Abagail doesn't like painting in new york.", "Abagail doesn't like painting.", False)
("Abagail doesn't like painting in new york.", "Abagail doesn't like new york.", False)
("Abagail doesn't like painting in new york.", 'Abagail likes painting in new york.', False)
("Abagail doesn't like painting in london.", "Abagail doesn't like painting.", False)
("Abagail doesn't like painting in london.", "Abagail doesn't like london.", False)
("Abagail doesn't like painting in london.", 'Abagail likes painting in london.', False)
("Abagail doesn't like painting in michigan.", "Abagail doesn't like painting.", False)
("Abagail doesn't like painting in michigan.", "Abagail doesn't like michigan.", False)
("Abagail doesn't like painting in michigan.", 'Abagail likes painting in michigan.', False)
("Abagail doesn't like painting in hong kong.", "Abagail doesn't like painting.", False)
("Abagail doesn't like painting in hong kong.", "Abagail doesn't like hong kong.", False)
("Abagail doesn't like painting in hong kong.", 'Abagail likes painting in hong kong.', False)
("Abagail doesn't like painting in san francisco.", "Abagail doesn't like painting.", False)
("Abagail doesn't like painting in san francisco.", "Abagail doesn't like san francisco.", False)
("Abagail doesn't like painting in san francisco.", 'Abagail likes painting in san francisco.', False)
("Abagail doesn't like reading in indiana.", "Abagail doesn't like reading.", False)
("Abagail doesn't like reading in indiana.", "Abagail doesn't like indiana.", False)
