('neighborhoods are found in cities.', 'neighborhoods contain cities', True)
('Some mooring contractors says flowers consists of pedals.', 'mooring contractors says flowers are composed of pedals', True)
('Some mortgage brokers says flowers consists of pedals.', 'mortgage brokers says flowers are composed of pedals', True)
('Some morticians says flowers consists of pedals.', 'morticians says flowers are composed of pedals', True)
('Some motor dealers says flowers consists of pedals.', 'motor dealers says flowers are composed of pedals', True)
('Some motor engineers says flowers consists of pedals.', 'motor engineers says flowers are composed of pedals', True)
('Some motor fitters says flowers consists of pedals.', 'motor fitters says flowers are composed of pedals', True)
('Some motor mechanics says flowers consists of pedals.', 'motor mechanics says flowers are composed of pedals', True)
('Some motor racings says flowers consists of pedals.', 'motor racings says flowers are composed of pedals', True)
('Some motor traders says flowers consists of pedals.', 'motor traders says flowers are composed of pedals', True)
('Some museum assistants says flowers consists of pedals.', 'museum assistants says flowers are composed of pedals', True)
('Some museum attendants says flowers consists of pedals.', 'museum attendants says flowers are composed of pedals', True)
('Some music teachers says flowers consists of pedals.', 'music teachers says flowers are composed of pedals', True)
('Some musicians says flowers consists of pedals.', 'musicians says flowers are composed of pedals', True)
('Some nannys says flowers consists of pedals.', 'nannys says flowers are composed of pedals', True)
('Some navigators says flowers consists of pedals.', 'navigators says flowers are composed of pedals', True)
('Some negotiators says flowers consists of pedals.', 'negotiators says flowers are composed of pedals', True)
('Some neurologists says flowers consists of pedals.', 'neurologists says flowers are composed of pedals', True)
('Some newsagents says flowers consists of pedals.', 'newsagents says flowers are composed of pedals', True)
('Some night porters says flowers consists of pedals.', 'night porters says flowers are composed of pedals', True)
('Some night watchmans says flowers consists of pedals.', 'night watchmans says flowers are composed of pedals', True)
('Some nuclear scientists says flowers consists of pedals.', 'nuclear scientists says flowers are composed of pedals', True)
('Some nuns says flowers consists of pedals.', 'nuns says flowers are composed of pedals', True)
('Some nurses says flowers consists of pedals.', 'nurses says flowers are composed of pedals', True)
('Some nursery assistants says flowers consists of pedals.', 'nursery assistants says flowers are composed of pedals', True)
('Some nursery nurses says flowers consists of pedals.', 'nursery nurses says flowers are composed of pedals', True)
('Some nursery workers says flowers consists of pedals.', 'nursery workers says flowers are composed of pedals', True)
('Some nurserymans says flowers consists of pedals.', 'nurserymans says flowers are composed of pedals', True)
('Some nursing assistants says flowers consists of pedals.', 'nursing assistants says flowers are composed of pedals', True)
('Some nursing auxiliarys says flowers consists of pedals.', 'nursing auxiliarys says flowers are composed of pedals', True)
('Some nursing managers says flowers consists of pedals.', 'nursing managers says flowers are composed of pedals', True)
('Some nursing sisters says flowers consists of pedals.', 'nursing sisters says flowers are composed of pedals', True)
('Some nutritionists says flowers consists of pedals.', 'nutritionists says flowers are composed of pedals', True)
('Some off shores says flowers consists of pedals.', 'off shores says flowers are composed of pedals', True)
('Some office managers says flowers consists of pedals.', 'office managers says flowers are composed of pedals', True)
('Some office workers says flowers consists of pedals.', 'office workers says flowers are composed of pedals', True)
('Some oil brokers says flowers consists of pedals.', 'oil brokers says flowers are composed of pedals', True)
('Some oil rig crews says flowers consists of pedals.', 'oil rig crews says flowers are composed of pedals', True)
('Some opera singers says flowers consists of pedals.', 'opera singers says flowers are composed of pedals', True)
('Some operationss says flowers consists of pedals.', 'operationss says flowers are composed of pedals', True)
('Some operatives says flowers consists of pedals.', 'operatives says flowers are composed of pedals', True)
('Some operators says flowers consists of pedals.', 'operators says flowers are composed of pedals', True)
('Some opticals says flowers consists of pedals.', 'opticals says flowers are composed of pedals', True)
('Some optical advisors says flowers consists of pedals.', 'optical advisors says flowers are composed of pedals', True)
('Some optical assistants says flowers consists of pedals.', 'optical assistants says flowers are composed of pedals', True)
('Some opticians says flowers consists of pedals.', 'opticians says flowers are composed of pedals', True)
('Some optometrists says flowers consists of pedals.', 'optometrists says flowers are composed of pedals', True)
('Some orchestrals says flowers consists of pedals.', 'orchestrals says flowers are composed of pedals', True)
('Some organisers says flowers consists of pedals.', 'organisers says flowers are composed of pedals', True)
('Some organists says flowers consists of pedals.', 'organists says flowers are composed of pedals', True)
('Some ornamentals says flowers consists of pedals.', 'ornamentals says flowers are composed of pedals', True)
('Some ornithologists says flowers consists of pedals.', 'ornithologists says flowers are composed of pedals', True)
('Some orthopaedics says flowers consists of pedals.', 'orthopaedics says flowers are composed of pedals', True)
('Some orthoptists says flowers consists of pedals.', 'orthoptists says flowers are composed of pedals', True)
('Some osteopaths says flowers consists of pedals.', 'osteopaths says flowers are composed of pedals', True)
('Some outdoor pursuitss says flowers consists of pedals.', 'outdoor pursuitss says flowers are composed of pedals', True)
('Some outreach workers says flowers consists of pedals.', 'outreach workers says flowers are composed of pedals', True)
('Some packagings says flowers consists of pedals.', 'packagings says flowers are composed of pedals', True)
('Some packers says flowers consists of pedals.', 'packers says flowers are composed of pedals', True)
('Some paediatricians says flowers consists of pedals.', 'paediatricians says flowers are composed of pedals', True)
('Some paint consultants says flowers consists of pedals.', 'paint consultants says flowers are composed of pedals', True)
('Some painters says flowers consists of pedals.', 'painters says flowers are composed of pedals', True)
('Some palaeobotanists says flowers consists of pedals.', 'palaeobotanists says flowers are composed of pedals', True)
('Some palaeontologists says flowers consists of pedals.', 'palaeontologists says flowers are composed of pedals', True)
('Some pallet makers says flowers consists of pedals.', 'pallet makers says flowers are composed of pedals', True)
('Some panel beaters says flowers consists of pedals.', 'panel beaters says flowers are composed of pedals', True)
('Some paramedics says flowers consists of pedals.', 'paramedics says flowers are composed of pedals', True)
('Some park attendants says flowers consists of pedals.', 'park attendants says flowers are composed of pedals', True)
('Some park keepers says flowers consists of pedals.', 'park keepers says flowers are composed of pedals', True)
('Some park rangers says flowers consists of pedals.', 'park rangers says flowers are composed of pedals', True)
('Some partition erectors says flowers consists of pedals.', 'partition erectors says flowers are composed of pedals', True)
('Some parts mans says flowers consists of pedals.', 'parts mans says flowers are composed of pedals', True)
('Some parts managers says flowers consists of pedals.', 'parts managers says flowers are composed of pedals', True)
('Some parts supervisors says flowers consists of pedals.', 'parts supervisors says flowers are composed of pedals', True)
('Some party planners says flowers consists of pedals.', 'party planners says flowers are composed of pedals', True)
('Some pasteurisers says flowers consists of pedals.', 'pasteurisers says flowers are composed of pedals', True)
('Some pastry chefs says flowers consists of pedals.', 'pastry chefs says flowers are composed of pedals', True)
('Some patent agents says flowers consists of pedals.', 'patent agents says flowers are composed of pedals', True)
('Some patent attorneys says flowers consists of pedals.', 'patent attorneys says flowers are composed of pedals', True)
('Some pathologists says flowers consists of pedals.', 'pathologists says flowers are composed of pedals', True)
('Some patrolmans says flowers consists of pedals.', 'patrolmans says flowers are composed of pedals', True)
('Some pattern cutters says flowers consists of pedals.', 'pattern cutters says flowers are composed of pedals', True)
('Some pattern makers says flowers consists of pedals.', 'pattern makers says flowers are composed of pedals', True)
('Some pattern weavers says flowers consists of pedals.', 'pattern weavers says flowers are composed of pedals', True)
('Some pawnbrokers says flowers consists of pedals.', 'pawnbrokers says flowers are composed of pedals', True)
('Some payroll assistants says flowers consists of pedals.', 'payroll assistants says flowers are composed of pedals', True)
('Some payroll clerks says flowers consists of pedals.', 'payroll clerks says flowers are composed of pedals', True)
('Some payroll managers says flowers consists of pedals.', 'payroll managers says flowers are composed of pedals', True)
('Some payroll supervisors says flowers consists of pedals.', 'payroll supervisors says flowers are composed of pedals', True)
('Some personnel officers says flowers consists of pedals.', 'personnel officers says flowers are composed of pedals', True)
('Some pest controllers says flowers consists of pedals.', 'pest controllers says flowers are composed of pedals', True)
('Some pet minders says flowers consists of pedals.', 'pet minders says flowers are composed of pedals', True)
('Some pharmacists says flowers consists of pedals.', 'pharmacists says flowers are composed of pedals', True)
('Some philatelists says flowers consists of pedals.', 'philatelists says flowers are composed of pedals', True)
('Some photographers says flowers consists of pedals.', 'photographers says flowers are composed of pedals', True)
('Some physicians says flowers consists of pedals.', 'physicians says flowers are composed of pedals', True)
('Some physicists says flowers consists of pedals.', 'physicists says flowers are composed of pedals', True)
('Some physiologists says flowers consists of pedals.', 'physiologists says flowers are composed of pedals', True)
('Some physiotherapists says flowers consists of pedals.', 'physiotherapists says flowers are composed of pedals', True)
('Some piano teachers says flowers consists of pedals.', 'piano teachers says flowers are composed of pedals', True)
('Some piano tuners says flowers consists of pedals.', 'piano tuners says flowers are composed of pedals', True)
('Some picture editors says flowers consists of pedals.', 'picture editors says flowers are composed of pedals', True)
('Some picture framers says flowers consists of pedals.', 'picture framers says flowers are composed of pedals', True)
('Some picture reseachers says flowers consists of pedals.', 'picture reseachers says flowers are composed of pedals', True)
('Some pig mans says flowers consists of pedals.', 'pig mans says flowers are composed of pedals', True)
('Some pig managers says flowers consists of pedals.', 'pig managers says flowers are composed of pedals', True)
('Some pilots says flowers consists of pedals.', 'pilots says flowers are composed of pedals', True)
('Some pipe fitters says flowers consists of pedals.', 'pipe fitters says flowers are composed of pedals', True)
('Some pipe inspectors says flowers consists of pedals.', 'pipe inspectors says flowers are composed of pedals', True)
('Some pipe insulators says flowers consists of pedals.', 'pipe insulators says flowers are composed of pedals', True)
('Some pipe layers says flowers consists of pedals.', 'pipe layers says flowers are composed of pedals', True)
('Some planning engineers says flowers consists of pedals.', 'planning engineers says flowers are composed of pedals', True)
('Some planning managers says flowers consists of pedals.', 'planning managers says flowers are composed of pedals', True)
('Some planning officers says flowers consists of pedals.', 'planning officers says flowers are composed of pedals', True)
('Some planning technicians says flowers consists of pedals.', 'planning technicians says flowers are composed of pedals', True)
('Some plant attendants says flowers consists of pedals.', 'plant attendants says flowers are composed of pedals', True)
('Some plant drivers says flowers consists of pedals.', 'plant drivers says flowers are composed of pedals', True)
('Some plant engineers says flowers consists of pedals.', 'plant engineers says flowers are composed of pedals', True)
('Some plant fitters says flowers consists of pedals.', 'plant fitters says flowers are composed of pedals', True)
('Some plant managers says flowers consists of pedals.', 'plant managers says flowers are composed of pedals', True)
('Some plant operators says flowers consists of pedals.', 'plant operators says flowers are composed of pedals', True)
('Some plasterers says flowers consists of pedals.', 'plasterers says flowers are composed of pedals', True)
('Some plastics consultants says flowers consists of pedals.', 'plastics consultants says flowers are composed of pedals', True)
('Some plastics engineers says flowers consists of pedals.', 'plastics engineers says flowers are composed of pedals', True)
('Some plate layers says flowers consists of pedals.', 'plate layers says flowers are composed of pedals', True)
('Some platers says flowers consists of pedals.', 'platers says flowers are composed of pedals', True)
('Some playgroup assistants says flowers consists of pedals.', 'playgroup assistants says flowers are composed of pedals', True)
('Some playgroup leaders says flowers consists of pedals.', 'playgroup leaders says flowers are composed of pedals', True)
('Some plumbers says flowers consists of pedals.', 'plumbers says flowers are composed of pedals', True)
('Some podiatrists says flowers consists of pedals.', 'podiatrists says flowers are composed of pedals', True)
('Some police officers says flowers consists of pedals.', 'police officers says flowers are composed of pedals', True)
('Some polishers says flowers consists of pedals.', 'polishers says flowers are composed of pedals', True)
('Some pool attendants says flowers consists of pedals.', 'pool attendants says flowers are composed of pedals', True)
('Some pools collectors says flowers consists of pedals.', 'pools collectors says flowers are composed of pedals', True)
('Some porters says flowers consists of pedals.', 'porters says flowers are composed of pedals', True)
('Some portfolio managers says flowers consists of pedals.', 'portfolio managers says flowers are composed of pedals', True)
('Some post sorters says flowers consists of pedals.', 'post sorters says flowers are composed of pedals', True)
('Some postmans says flowers consists of pedals.', 'postmans says flowers are composed of pedals', True)
('Some postmasters says flowers consists of pedals.', 'postmasters says flowers are composed of pedals', True)
('Some postwomans says flowers consists of pedals.', 'postwomans says flowers are composed of pedals', True)
('Some potters says flowers consists of pedals.', 'potters says flowers are composed of pedals', True)
('Some practice managers says flowers consists of pedals.', 'practice managers says flowers are composed of pedals', True)
('Some preachers says flowers consists of pedals.', 'preachers says flowers are composed of pedals', True)
('Some precision engineers says flowers consists of pedals.', 'precision engineers says flowers are composed of pedals', True)
('Some premisess says flowers consists of pedals.', 'premisess says flowers are composed of pedals', True)
('Some premises securitys says flowers consists of pedals.', 'premises securitys says flowers are composed of pedals', True)
('Some press officers says flowers consists of pedals.', 'press officers says flowers are composed of pedals', True)
('Some press operators says flowers consists of pedals.', 'press operators says flowers are composed of pedals', True)
('Some press setters says flowers consists of pedals.', 'press setters says flowers are composed of pedals', True)
('Some pressers says flowers consists of pedals.', 'pressers says flowers are composed of pedals', True)
('Some priests says flowers consists of pedals.', 'priests says flowers are composed of pedals', True)
('Some print finishers says flowers consists of pedals.', 'print finishers says flowers are composed of pedals', True)
('Some printers says flowers consists of pedals.', 'printers says flowers are composed of pedals', True)
('Some prison chaplains says flowers consists of pedals.', 'prison chaplains says flowers are composed of pedals', True)
('Some prison officers says flowers consists of pedals.', 'prison officers says flowers are composed of pedals', True)
('Some private investigators says flowers consists of pedals.', 'private investigators says flowers are composed of pedals', True)
('Some probation officers says flowers consists of pedals.', 'probation officers says flowers are composed of pedals', True)
('Some probation workers says flowers consists of pedals.', 'probation workers says flowers are composed of pedals', True)
('Some procurator fiscals says flowers consists of pedals.', 'procurator fiscals says flowers are composed of pedals', True)
('Some produce supervisors says flowers consists of pedals.', 'produce supervisors says flowers are composed of pedals', True)
('Some producers says flowers consists of pedals.', 'producers says flowers are composed of pedals', True)
('Some product installers says flowers consists of pedals.', 'product installers says flowers are composed of pedals', True)
('Some product managers says flowers consists of pedals.', 'product managers says flowers are composed of pedals', True)
('Some production engineers says flowers consists of pedals.', 'production engineers says flowers are composed of pedals', True)
('Some production hands says flowers consists of pedals.', 'production hands says flowers are composed of pedals', True)
('Some production managers says flowers consists of pedals.', 'production managers says flowers are composed of pedals', True)
('Some production planners says flowers consists of pedals.', 'production planners says flowers are composed of pedals', True)
('Some professional boxers says flowers consists of pedals.', 'professional boxers says flowers are composed of pedals', True)
('Some professional racings says flowers consists of pedals.', 'professional racings says flowers are composed of pedals', True)
('Some professional wrestlers says flowers consists of pedals.', 'professional wrestlers says flowers are composed of pedals', True)
('Some progress chasers says flowers consists of pedals.', 'progress chasers says flowers are composed of pedals', True)
('Some progress clerks says flowers consists of pedals.', 'progress clerks says flowers are composed of pedals', True)
('Some project co-ordinators says flowers consists of pedals.', 'project co-ordinators says flowers are composed of pedals', True)
('Some project engineers says flowers consists of pedals.', 'project engineers says flowers are composed of pedals', True)
('Some project leaders says flowers consists of pedals.', 'project leaders says flowers are composed of pedals', True)
('Some project managers says flowers consists of pedals.', 'project managers says flowers are composed of pedals', True)
('Some project workers says flowers consists of pedals.', 'project workers says flowers are composed of pedals', True)
('Some projectionists says flowers consists of pedals.', 'projectionists says flowers are composed of pedals', True)
('Some promoters says flowers consists of pedals.', 'promoters says flowers are composed of pedals', True)
('Some proof readers says flowers consists of pedals.', 'proof readers says flowers are composed of pedals', True)
('Some property buyers says flowers consists of pedals.', 'property buyers says flowers are composed of pedals', True)
('Some property dealers says flowers consists of pedals.', 'property dealers says flowers are composed of pedals', True)
('Some property developers says flowers consists of pedals.', 'property developers says flowers are composed of pedals', True)
('Some property managers says flowers consists of pedals.', 'property managers says flowers are composed of pedals', True)
('Some property valuers says flowers consists of pedals.', 'property valuers says flowers are composed of pedals', True)
('Some proprietors says flowers consists of pedals.', 'proprietors says flowers are composed of pedals', True)
('Some psychiatrists says flowers consists of pedals.', 'psychiatrists says flowers are composed of pedals', True)
('Some psychoanalysts says flowers consists of pedals.', 'psychoanalysts says flowers are composed of pedals', True)
('Some psychologists says flowers consists of pedals.', 'psychologists says flowers are composed of pedals', True)
('Some psychotherapists says flowers consists of pedals.', 'psychotherapists says flowers are composed of pedals', True)
('Some public house managers says flowers consists of pedals.', 'public house managers says flowers are composed of pedals', True)
('Some public relations of?cers says flowers consists of pedals.', 'public relations of?cers says flowers are composed of pedals', True)
('Some publicans says flowers consists of pedals.', 'publicans says flowers are composed of pedals', True)
('Some publicity managers says flowers consists of pedals.', 'publicity managers says flowers are composed of pedals', True)
('Some publishers says flowers consists of pedals.', 'publishers says flowers are composed of pedals', True)
('Some publishing managers says flowers consists of pedals.', 'publishing managers says flowers are composed of pedals', True)
('Some purchase clerks says flowers consists of pedals.', 'purchase clerks says flowers are composed of pedals', True)
('Some purchase ledger clerks says flowers consists of pedals.', 'purchase ledger clerks says flowers are composed of pedals', True)
('Some purchasing assistants says flowers consists of pedals.', 'purchasing assistants says flowers are composed of pedals', True)
('Some purchasing managers says flowers consists of pedals.', 'purchasing managers says flowers are composed of pedals', True)
('Some pursers says flowers consists of pedals.', 'pursers says flowers are composed of pedals', True)
('Some quality controllers says flowers consists of pedals.', 'quality controllers says flowers are composed of pedals', True)
('Some quality engineers says flowers consists of pedals.', 'quality engineers says flowers are composed of pedals', True)
('Some quality inspectors says flowers consists of pedals.', 'quality inspectors says flowers are composed of pedals', True)
('Some quality managers says flowers consists of pedals.', 'quality managers says flowers are composed of pedals', True)
('Some quality technicians says flowers consists of pedals.', 'quality technicians says flowers are composed of pedals', True)
('Some quantity surveyors says flowers consists of pedals.', 'quantity surveyors says flowers are composed of pedals', True)
('Some quarry workers says flowers consists of pedals.', 'quarry workers says flowers are composed of pedals', True)
('Some racehorse grooms says flowers consists of pedals.', 'racehorse grooms says flowers are composed of pedals', True)
('Some racing organisers says flowers consists of pedals.', 'racing organisers says flowers are composed of pedals', True)
('Some radio controllers says flowers consists of pedals.', 'radio controllers says flowers are composed of pedals', True)
('Some radio directors says flowers consists of pedals.', 'radio directors says flowers are composed of pedals', True)
('Some radio engineers says flowers consists of pedals.', 'radio engineers says flowers are composed of pedals', True)
('Some radio operators says flowers consists of pedals.', 'radio operators says flowers are composed of pedals', True)
('Some radio presenters says flowers consists of pedals.', 'radio presenters says flowers are composed of pedals', True)
('Some radio producers says flowers consists of pedals.', 'radio producers says flowers are composed of pedals', True)
('Some radiographers says flowers consists of pedals.', 'radiographers says flowers are composed of pedals', True)
('Some radiologists says flowers consists of pedals.', 'radiologists says flowers are composed of pedals', True)
('Some rally drivers says flowers consists of pedals.', 'rally drivers says flowers are composed of pedals', True)
('Some receptionists says flowers consists of pedals.', 'receptionists says flowers are composed of pedals', True)
('Some recorders says flowers consists of pedals.', 'recorders says flowers are composed of pedals', True)
('Some records supervisors says flowers consists of pedals.', 'records supervisors says flowers are composed of pedals', True)
('Some recovery vehicle coordinators says flowers consists of pedals.', 'recovery vehicle coordinators says flowers are composed of pedals', True)
('Some recreationals says flowers consists of pedals.', 'recreationals says flowers are composed of pedals', True)
('Some recruitment consultants says flowers consists of pedals.', 'recruitment consultants says flowers are composed of pedals', True)
('Some rectors says flowers consists of pedals.', 'rectors says flowers are composed of pedals', True)
('Some reflexologists says flowers consists of pedals.', 'reflexologists says flowers are composed of pedals', True)
('Some refractory engineers says flowers consists of pedals.', 'refractory engineers says flowers are composed of pedals', True)
('Some refrigeration engineers says flowers consists of pedals.', 'refrigeration engineers says flowers are composed of pedals', True)
('Some refuse collectors says flowers consists of pedals.', 'refuse collectors says flowers are composed of pedals', True)
('Some registrars says flowers consists of pedals.', 'registrars says flowers are composed of pedals', True)
('Some regulators says flowers consists of pedals.', 'regulators says flowers are composed of pedals', True)
('Some relocation agents says flowers consists of pedals.', 'relocation agents says flowers are composed of pedals', True)
('Some remedial therapists says flowers consists of pedals.', 'remedial therapists says flowers are composed of pedals', True)
('Some rent collectors says flowers consists of pedals.', 'rent collectors says flowers are composed of pedals', True)
('Some rent offcers says flowers consists of pedals.', 'rent offcers says flowers are composed of pedals', True)
('Some repair mans says flowers consists of pedals.', 'repair mans says flowers are composed of pedals', True)
('Some repairers says flowers consists of pedals.', 'repairers says flowers are composed of pedals', True)
('Some reporters says flowers consists of pedals.', 'reporters says flowers are composed of pedals', True)
('Some representatives says flowers consists of pedals.', 'representatives says flowers are composed of pedals', True)
('Some reprographic assistants says flowers consists of pedals.', 'reprographic assistants says flowers are composed of pedals', True)
('Some research analysts says flowers consists of pedals.', 'research analysts says flowers are composed of pedals', True)
('Some research consultants says flowers consists of pedals.', 'research consultants says flowers are composed of pedals', True)
('Some research directors says flowers consists of pedals.', 'research directors says flowers are composed of pedals', True)
('Some research scientists says flowers consists of pedals.', 'research scientists says flowers are composed of pedals', True)
('Some research technicians says flowers consists of pedals.', 'research technicians says flowers are composed of pedals', True)
('Some researchers says flowers consists of pedals.', 'researchers says flowers are composed of pedals', True)
('Some resin casters says flowers consists of pedals.', 'resin casters says flowers are composed of pedals', True)
('Some restaurant managers says flowers consists of pedals.', 'restaurant managers says flowers are composed of pedals', True)
('Some restaurateurs says flowers consists of pedals.', 'restaurateurs says flowers are composed of pedals', True)
('Some restorers says flowers consists of pedals.', 'restorers says flowers are composed of pedals', True)
('Some retireds says flowers consists of pedals.', 'retireds says flowers are composed of pedals', True)
('Some revenue clerks says flowers consists of pedals.', 'revenue clerks says flowers are composed of pedals', True)
('Some revenue officers says flowers consists of pedals.', 'revenue officers says flowers are composed of pedals', True)
('Some riding instructors says flowers consists of pedals.', 'riding instructors says flowers are composed of pedals', True)
('Some rig workers says flowers consists of pedals.', 'rig workers says flowers are composed of pedals', True)
('Some riggers says flowers consists of pedals.', 'riggers says flowers are composed of pedals', True)
('Some riveters says flowers consists of pedals.', 'riveters says flowers are composed of pedals', True)
('Some road safety officers says flowers consists of pedals.', 'road safety officers says flowers are composed of pedals', True)
('Some road sweepers says flowers consists of pedals.', 'road sweepers says flowers are composed of pedals', True)
('Some road workers says flowers consists of pedals.', 'road workers says flowers are composed of pedals', True)
('Some roadworkers says flowers consists of pedals.', 'roadworkers says flowers are composed of pedals', True)
('Some roof tilers says flowers consists of pedals.', 'roof tilers says flowers are composed of pedals', True)
('Some roofers says flowers consists of pedals.', 'roofers says flowers are composed of pedals', True)
('Some rose growers says flowers consists of pedals.', 'rose growers says flowers are composed of pedals', True)
('Some royal marines says flowers consists of pedals.', 'royal marines says flowers are composed of pedals', True)
('Some rug makers says flowers consists of pedals.', 'rug makers says flowers are composed of pedals', True)
('Some saddlers says flowers consists of pedals.', 'saddlers says flowers are composed of pedals', True)
('Some safety officers says flowers consists of pedals.', 'safety officers says flowers are composed of pedals', True)
('Some sail makers says flowers consists of pedals.', 'sail makers says flowers are composed of pedals', True)
('Some sales administrators says flowers consists of pedals.', 'sales administrators says flowers are composed of pedals', True)
('Some sales assistants says flowers consists of pedals.', 'sales assistants says flowers are composed of pedals', True)
('Some sales directors says flowers consists of pedals.', 'sales directors says flowers are composed of pedals', True)
('Some sales engineers says flowers consists of pedals.', 'sales engineers says flowers are composed of pedals', True)
('Some sales executives says flowers consists of pedals.', 'sales executives says flowers are composed of pedals', True)
('Some sales managers says flowers consists of pedals.', 'sales managers says flowers are composed of pedals', True)
('Some sales representatives says flowers consists of pedals.', 'sales representatives says flowers are composed of pedals', True)
('Some sales supports says flowers consists of pedals.', 'sales supports says flowers are composed of pedals', True)
('Some salesmans says flowers consists of pedals.', 'salesmans says flowers are composed of pedals', True)
('Some saleswomans says flowers consists of pedals.', 'saleswomans says flowers are composed of pedals', True)
('Some sand blasters says flowers consists of pedals.', 'sand blasters says flowers are composed of pedals', True)
('Some saw millers says flowers consists of pedals.', 'saw millers says flowers are composed of pedals', True)
('Some scaffolders says flowers consists of pedals.', 'scaffolders says flowers are composed of pedals', True)
('Some school crossings says flowers consists of pedals.', 'school crossings says flowers are composed of pedals', True)
('Some school inspectors says flowers consists of pedals.', 'school inspectors says flowers are composed of pedals', True)
('Some scientific officers says flowers consists of pedals.', 'scientific officers says flowers are composed of pedals', True)
('Some scientists says flowers consists of pedals.', 'scientists says flowers are composed of pedals', True)
('Some scrap dealers says flowers consists of pedals.', 'scrap dealers says flowers are composed of pedals', True)
('Some screen printers says flowers consists of pedals.', 'screen printers says flowers are composed of pedals', True)
('Some screen writers says flowers consists of pedals.', 'screen writers says flowers are composed of pedals', True)
('Some script writers says flowers consists of pedals.', 'script writers says flowers are composed of pedals', True)
('Some sculptors says flowers consists of pedals.', 'sculptors says flowers are composed of pedals', True)
('Some seamans says flowers consists of pedals.', 'seamans says flowers are composed of pedals', True)
('Some seamstresss says flowers consists of pedals.', 'seamstresss says flowers are composed of pedals', True)
('Some secretarys says flowers consists of pedals.', 'secretarys says flowers are composed of pedals', True)
('Some security consultants says flowers consists of pedals.', 'security consultants says flowers are composed of pedals', True)
('Some security controllers says flowers consists of pedals.', 'security controllers says flowers are composed of pedals', True)
('Some security guards says flowers consists of pedals.', 'security guards says flowers are composed of pedals', True)
('Some security officers says flowers consists of pedals.', 'security officers says flowers are composed of pedals', True)
('Some servants says flowers consists of pedals.', 'servants says flowers are composed of pedals', True)
('Some service engineers says flowers consists of pedals.', 'service engineers says flowers are composed of pedals', True)
('Some service managers says flowers consists of pedals.', 'service managers says flowers are composed of pedals', True)
('Some share dealers says flowers consists of pedals.', 'share dealers says flowers are composed of pedals', True)
('Some sheet metal workers says flowers consists of pedals.', 'sheet metal workers says flowers are composed of pedals', True)
('Some shelf fillers says flowers consists of pedals.', 'shelf fillers says flowers are composed of pedals', True)
('Some shelter wardens says flowers consists of pedals.', 'shelter wardens says flowers are composed of pedals', True)
('Some shepherds says flowers consists of pedals.', 'shepherds says flowers are composed of pedals', True)
('Some sheriffs says flowers consists of pedals.', 'sheriffs says flowers are composed of pedals', True)
('Some sheriff clerks says flowers consists of pedals.', 'sheriff clerks says flowers are composed of pedals', True)
('Some sheriff principals says flowers consists of pedals.', 'sheriff principals says flowers are composed of pedals', True)
('Some shift controllers says flowers consists of pedals.', 'shift controllers says flowers are composed of pedals', True)
('Some ship brokers says flowers consists of pedals.', 'ship brokers says flowers are composed of pedals', True)
('Some ship builders says flowers consists of pedals.', 'ship builders says flowers are composed of pedals', True)
('Some shipping clerks says flowers consists of pedals.', 'shipping clerks says flowers are composed of pedals', True)
('Some shipping officers says flowers consists of pedals.', 'shipping officers says flowers are composed of pedals', True)
('Some shipwrights says flowers consists of pedals.', 'shipwrights says flowers are composed of pedals', True)
('Some shipyard workers says flowers consists of pedals.', 'shipyard workers says flowers are composed of pedals', True)
('Some shoe makers says flowers consists of pedals.', 'shoe makers says flowers are composed of pedals', True)
('Some shoe repairers says flowers consists of pedals.', 'shoe repairers says flowers are composed of pedals', True)
('Some shooting instructors says flowers consists of pedals.', 'shooting instructors says flowers are composed of pedals', True)
('Some shop assistants says flowers consists of pedals.', 'shop assistants says flowers are composed of pedals', True)
('Some shop fitters says flowers consists of pedals.', 'shop fitters says flowers are composed of pedals', True)
('Some shop keepers says flowers consists of pedals.', 'shop keepers says flowers are composed of pedals', True)
('Some shop managers says flowers consists of pedals.', 'shop managers says flowers are composed of pedals', True)
('Some shop proprietors says flowers consists of pedals.', 'shop proprietors says flowers are composed of pedals', True)
('Some shot blasters says flowers consists of pedals.', 'shot blasters says flowers are composed of pedals', True)
('Some show jumpers says flowers consists of pedals.', 'show jumpers says flowers are composed of pedals', True)
('Some showmans says flowers consists of pedals.', 'showmans says flowers are composed of pedals', True)
('Some shunters says flowers consists of pedals.', 'shunters says flowers are composed of pedals', True)
('Some sign makers says flowers consists of pedals.', 'sign makers says flowers are composed of pedals', True)
('Some signalmans says flowers consists of pedals.', 'signalmans says flowers are composed of pedals', True)
('Some signwriters says flowers consists of pedals.', 'signwriters says flowers are composed of pedals', True)
('Some site agents says flowers consists of pedals.', 'site agents says flowers are composed of pedals', True)
('Some site engineers says flowers consists of pedals.', 'site engineers says flowers are composed of pedals', True)
('Some skippers says flowers consists of pedals.', 'skippers says flowers are composed of pedals', True)
('Some slaters says flowers consists of pedals.', 'slaters says flowers are composed of pedals', True)
('Some slaughtermans says flowers consists of pedals.', 'slaughtermans says flowers are composed of pedals', True)
('Some smallholders says flowers consists of pedals.', 'smallholders says flowers are composed of pedals', True)
('Some social workers says flowers consists of pedals.', 'social workers says flowers are composed of pedals', True)
('Some software consultants says flowers consists of pedals.', 'software consultants says flowers are composed of pedals', True)
('Some software engineers says flowers consists of pedals.', 'software engineers says flowers are composed of pedals', True)
