('A automobile is a vehicle.', 'A automobile is a vehicle.', True)
('A loris is a animal.', 'A animal is not necessarily a loris.', True)
('A louse is a lifeform.', 'A lifeform is not necessarily a louse.', True)
('A louse is a eukaryote.', 'A eukaryote is not necessarily a louse.', True)
('A louse is a animal.', 'A animal is not necessarily a louse.', True)
('A lyrebird is a lifeform.', 'A lifeform is not necessarily a lyrebird.', True)
('A lyrebird is a eukaryote.', 'A eukaryote is not necessarily a lyrebird.', True)
('A lyrebird is a animal.', 'A animal is not necessarily a lyrebird.', True)
('A magpie is a lifeform.', 'A lifeform is not necessarily a magpie.', True)
('A magpie is a eukaryote.', 'A eukaryote is not necessarily a magpie.', True)
('A magpie is a animal.', 'A animal is not necessarily a magpie.', True)
('A mallard is a lifeform.', 'A lifeform is not necessarily a mallard.', True)
('A mallard is a eukaryote.', 'A eukaryote is not necessarily a mallard.', True)
('A mallard is a animal.', 'A animal is not necessarily a mallard.', True)
('A manatee is a lifeform.', 'A lifeform is not necessarily a manatee.', True)
('A manatee is a eukaryote.', 'A eukaryote is not necessarily a manatee.', True)
('A manatee is a animal.', 'A animal is not necessarily a manatee.', True)
('A mandrill is a lifeform.', 'A lifeform is not necessarily a mandrill.', True)
('A mandrill is a eukaryote.', 'A eukaryote is not necessarily a mandrill.', True)
('A mandrill is a animal.', 'A animal is not necessarily a mandrill.', True)
('A mantis is a lifeform.', 'A lifeform is not necessarily a mantis.', True)
('A mantis is a eukaryote.', 'A eukaryote is not necessarily a mantis.', True)
('A mantis is a animal.', 'A animal is not necessarily a mantis.', True)
('A marten is a lifeform.', 'A lifeform is not necessarily a marten.', True)
('A marten is a eukaryote.', 'A eukaryote is not necessarily a marten.', True)
('A marten is a animal.', 'A animal is not necessarily a marten.', True)
('A meerkat is a lifeform.', 'A lifeform is not necessarily a meerkat.', True)
('A meerkat is a eukaryote.', 'A eukaryote is not necessarily a meerkat.', True)
('A meerkat is a animal.', 'A animal is not necessarily a meerkat.', True)
('A mink is a lifeform.', 'A lifeform is not necessarily a mink.', True)
('A mink is a eukaryote.', 'A eukaryote is not necessarily a mink.', True)
('A mink is a animal.', 'A animal is not necessarily a mink.', True)
('A mole is a lifeform.', 'A lifeform is not necessarily a mole.', True)
('A mole is a eukaryote.', 'A eukaryote is not necessarily a mole.', True)
('A mole is a animal.', 'A animal is not necessarily a mole.', True)
('A mongoose is a lifeform.', 'A lifeform is not necessarily a mongoose.', True)
('A mongoose is a eukaryote.', 'A eukaryote is not necessarily a mongoose.', True)
('A mongoose is a animal.', 'A animal is not necessarily a mongoose.', True)
('A monkey is a lifeform.', 'A lifeform is not necessarily a monkey.', True)
('A monkey is a eukaryote.', 'A eukaryote is not necessarily a monkey.', True)
('A monkey is a animal.', 'A animal is not necessarily a monkey.', True)
('A moose is a lifeform.', 'A lifeform is not necessarily a moose.', True)
('A moose is a eukaryote.', 'A eukaryote is not necessarily a moose.', True)
('A moose is a animal.', 'A animal is not necessarily a moose.', True)
('A mosquito is a lifeform.', 'A lifeform is not necessarily a mosquito.', True)
('A mosquito is a eukaryote.', 'A eukaryote is not necessarily a mosquito.', True)
('A mosquito is a animal.', 'A animal is not necessarily a mosquito.', True)
('A mouse is a lifeform.', 'A lifeform is not necessarily a mouse.', True)
('A mouse is a eukaryote.', 'A eukaryote is not necessarily a mouse.', True)
('A mouse is a animal.', 'A animal is not necessarily a mouse.', True)
('A mule is a lifeform.', 'A lifeform is not necessarily a mule.', True)
('A mule is a eukaryote.', 'A eukaryote is not necessarily a mule.', True)
('A mule is a animal.', 'A animal is not necessarily a mule.', True)
('A narwhal is a lifeform.', 'A lifeform is not necessarily a narwhal.', True)
('A narwhal is a eukaryote.', 'A eukaryote is not necessarily a narwhal.', True)
('A narwhal is a animal.', 'A animal is not necessarily a narwhal.', True)
('A newt is a lifeform.', 'A lifeform is not necessarily a newt.', True)
('A newt is a eukaryote.', 'A eukaryote is not necessarily a newt.', True)
('A newt is a animal.', 'A animal is not necessarily a newt.', True)
('A nightingale is a lifeform.', 'A lifeform is not necessarily a nightingale.', True)
('A nightingale is a eukaryote.', 'A eukaryote is not necessarily a nightingale.', True)
('A nightingale is a animal.', 'A animal is not necessarily a nightingale.', True)
('A octopus is a lifeform.', 'A lifeform is not necessarily a octopus.', True)
('A octopus is a eukaryote.', 'A eukaryote is not necessarily a octopus.', True)
('A octopus is a animal.', 'A animal is not necessarily a octopus.', True)
('A okapi is a lifeform.', 'A lifeform is not necessarily a okapi.', True)
('A okapi is a eukaryote.', 'A eukaryote is not necessarily a okapi.', True)
('A okapi is a animal.', 'A animal is not necessarily a okapi.', True)
('A opossum is a lifeform.', 'A lifeform is not necessarily a opossum.', True)
('A opossum is a eukaryote.', 'A eukaryote is not necessarily a opossum.', True)
('A opossum is a animal.', 'A animal is not necessarily a opossum.', True)
('A oryx is a lifeform.', 'A lifeform is not necessarily a oryx.', True)
('A oryx is a eukaryote.', 'A eukaryote is not necessarily a oryx.', True)
('A oryx is a animal.', 'A animal is not necessarily a oryx.', True)
('A ostrich is a lifeform.', 'A lifeform is not necessarily a ostrich.', True)
('A ostrich is a eukaryote.', 'A eukaryote is not necessarily a ostrich.', True)
('A ostrich is a animal.', 'A animal is not necessarily a ostrich.', True)
('A otter is a lifeform.', 'A lifeform is not necessarily a otter.', True)
('A otter is a eukaryote.', 'A eukaryote is not necessarily a otter.', True)
('A otter is a animal.', 'A animal is not necessarily a otter.', True)
('A owl is a lifeform.', 'A lifeform is not necessarily a owl.', True)
('A owl is a eukaryote.', 'A eukaryote is not necessarily a owl.', True)
('A owl is a animal.', 'A animal is not necessarily a owl.', True)
('A oyster is a lifeform.', 'A lifeform is not necessarily a oyster.', True)
('A oyster is a eukaryote.', 'A eukaryote is not necessarily a oyster.', True)
('A oyster is a animal.', 'A animal is not necessarily a oyster.', True)
('A panther is a lifeform.', 'A lifeform is not necessarily a panther.', True)
('A panther is a eukaryote.', 'A eukaryote is not necessarily a panther.', True)
('A panther is a animal.', 'A animal is not necessarily a panther.', True)
('A parrot is a lifeform.', 'A lifeform is not necessarily a parrot.', True)
('A parrot is a eukaryote.', 'A eukaryote is not necessarily a parrot.', True)
('A parrot is a animal.', 'A animal is not necessarily a parrot.', True)
('A partridge is a lifeform.', 'A lifeform is not necessarily a partridge.', True)
('A partridge is a eukaryote.', 'A eukaryote is not necessarily a partridge.', True)
('A partridge is a animal.', 'A animal is not necessarily a partridge.', True)
('A peafowl is a lifeform.', 'A lifeform is not necessarily a peafowl.', True)
('A peafowl is a eukaryote.', 'A eukaryote is not necessarily a peafowl.', True)
('A peafowl is a animal.', 'A animal is not necessarily a peafowl.', True)
('A pelican is a lifeform.', 'A lifeform is not necessarily a pelican.', True)
('A pelican is a eukaryote.', 'A eukaryote is not necessarily a pelican.', True)
('A pelican is a animal.', 'A animal is not necessarily a pelican.', True)
('A penguin is a lifeform.', 'A lifeform is not necessarily a penguin.', True)
('A penguin is a eukaryote.', 'A eukaryote is not necessarily a penguin.', True)
('A penguin is a animal.', 'A animal is not necessarily a penguin.', True)
('A pheasant is a lifeform.', 'A lifeform is not necessarily a pheasant.', True)
('A pheasant is a eukaryote.', 'A eukaryote is not necessarily a pheasant.', True)
('A pheasant is a animal.', 'A animal is not necessarily a pheasant.', True)
('A pig is a lifeform.', 'A lifeform is not necessarily a pig.', True)
('A pig is a eukaryote.', 'A eukaryote is not necessarily a pig.', True)
('A pig is a animal.', 'A animal is not necessarily a pig.', True)
('A pigeon is a lifeform.', 'A lifeform is not necessarily a pigeon.', True)
('A pigeon is a eukaryote.', 'A eukaryote is not necessarily a pigeon.', True)
('A pigeon is a animal.', 'A animal is not necessarily a pigeon.', True)
('A pony is a lifeform.', 'A lifeform is not necessarily a pony.', True)
('A pony is a eukaryote.', 'A eukaryote is not necessarily a pony.', True)
('A pony is a animal.', 'A animal is not necessarily a pony.', True)
('A porcupine is a lifeform.', 'A lifeform is not necessarily a porcupine.', True)
('A porcupine is a eukaryote.', 'A eukaryote is not necessarily a porcupine.', True)
('A porcupine is a animal.', 'A animal is not necessarily a porcupine.', True)
('A porpoise is a lifeform.', 'A lifeform is not necessarily a porpoise.', True)
('A porpoise is a eukaryote.', 'A eukaryote is not necessarily a porpoise.', True)
('A porpoise is a animal.', 'A animal is not necessarily a porpoise.', True)
('A quail is a lifeform.', 'A lifeform is not necessarily a quail.', True)
('A quail is a eukaryote.', 'A eukaryote is not necessarily a quail.', True)
('A quail is a animal.', 'A animal is not necessarily a quail.', True)
('A quetzal is a lifeform.', 'A lifeform is not necessarily a quetzal.', True)
('A quetzal is a eukaryote.', 'A eukaryote is not necessarily a quetzal.', True)
('A quetzal is a animal.', 'A animal is not necessarily a quetzal.', True)
('A rabbit is a lifeform.', 'A lifeform is not necessarily a rabbit.', True)
('A rabbit is a eukaryote.', 'A eukaryote is not necessarily a rabbit.', True)
('A rabbit is a animal.', 'A animal is not necessarily a rabbit.', True)
('A raccoon is a lifeform.', 'A lifeform is not necessarily a raccoon.', True)
('A raccoon is a eukaryote.', 'A eukaryote is not necessarily a raccoon.', True)
('A raccoon is a animal.', 'A animal is not necessarily a raccoon.', True)
('A rail is a lifeform.', 'A lifeform is not necessarily a rail.', True)
('A rail is a eukaryote.', 'A eukaryote is not necessarily a rail.', True)
('A rail is a animal.', 'A animal is not necessarily a rail.', True)
('A ram is a lifeform.', 'A lifeform is not necessarily a ram.', True)
('A ram is a eukaryote.', 'A eukaryote is not necessarily a ram.', True)
('A ram is a animal.', 'A animal is not necessarily a ram.', True)
('A rat is a lifeform.', 'A lifeform is not necessarily a rat.', True)
('A rat is a eukaryote.', 'A eukaryote is not necessarily a rat.', True)
('A rat is a animal.', 'A animal is not necessarily a rat.', True)
('A raven is a lifeform.', 'A lifeform is not necessarily a raven.', True)
('A raven is a eukaryote.', 'A eukaryote is not necessarily a raven.', True)
('A raven is a animal.', 'A animal is not necessarily a raven.', True)
('A red deer is a lifeform.', 'A lifeform is not necessarily a red deer.', True)
('A red deer is a eukaryote.', 'A eukaryote is not necessarily a red deer.', True)
('A red deer is a animal.', 'A animal is not necessarily a red deer.', True)
('A red panda is a lifeform.', 'A lifeform is not necessarily a red panda.', True)
('A red panda is a eukaryote.', 'A eukaryote is not necessarily a red panda.', True)
('A red panda is a animal.', 'A animal is not necessarily a red panda.', True)
('A reindeer is a lifeform.', 'A lifeform is not necessarily a reindeer.', True)
('A reindeer is a eukaryote.', 'A eukaryote is not necessarily a reindeer.', True)
('A reindeer is a animal.', 'A animal is not necessarily a reindeer.', True)
('A rhinoceros is a lifeform.', 'A lifeform is not necessarily a rhinoceros.', True)
('A rhinoceros is a eukaryote.', 'A eukaryote is not necessarily a rhinoceros.', True)
('A rhinoceros is a animal.', 'A animal is not necessarily a rhinoceros.', True)
('A rook is a lifeform.', 'A lifeform is not necessarily a rook.', True)
('A rook is a eukaryote.', 'A eukaryote is not necessarily a rook.', True)
('A rook is a animal.', 'A animal is not necessarily a rook.', True)
('A salamander is a lifeform.', 'A lifeform is not necessarily a salamander.', True)
('A salamander is a eukaryote.', 'A eukaryote is not necessarily a salamander.', True)
('A salamander is a animal.', 'A animal is not necessarily a salamander.', True)
('A salmon is a lifeform.', 'A lifeform is not necessarily a salmon.', True)
('A salmon is a eukaryote.', 'A eukaryote is not necessarily a salmon.', True)
('A salmon is a animal.', 'A animal is not necessarily a salmon.', True)
('A sand dollar is a lifeform.', 'A lifeform is not necessarily a sand dollar.', True)
('A sand dollar is a eukaryote.', 'A eukaryote is not necessarily a sand dollar.', True)
('A sand dollar is a animal.', 'A animal is not necessarily a sand dollar.', True)
('A sandpiper is a lifeform.', 'A lifeform is not necessarily a sandpiper.', True)
('A sandpiper is a eukaryote.', 'A eukaryote is not necessarily a sandpiper.', True)
('A sandpiper is a animal.', 'A animal is not necessarily a sandpiper.', True)
('A sardine is a lifeform.', 'A lifeform is not necessarily a sardine.', True)
('A sardine is a eukaryote.', 'A eukaryote is not necessarily a sardine.', True)
('A sardine is a animal.', 'A animal is not necessarily a sardine.', True)
('A scorpion is a lifeform.', 'A lifeform is not necessarily a scorpion.', True)
('A scorpion is a eukaryote.', 'A eukaryote is not necessarily a scorpion.', True)
('A scorpion is a animal.', 'A animal is not necessarily a scorpion.', True)
('A seahorse is a lifeform.', 'A lifeform is not necessarily a seahorse.', True)
('A seahorse is a eukaryote.', 'A eukaryote is not necessarily a seahorse.', True)
('A seahorse is a animal.', 'A animal is not necessarily a seahorse.', True)
('A seal is a lifeform.', 'A lifeform is not necessarily a seal.', True)
('A seal is a eukaryote.', 'A eukaryote is not necessarily a seal.', True)
('A seal is a animal.', 'A animal is not necessarily a seal.', True)
('A shark is a lifeform.', 'A lifeform is not necessarily a shark.', True)
('A shark is a eukaryote.', 'A eukaryote is not necessarily a shark.', True)
('A shark is a animal.', 'A animal is not necessarily a shark.', True)
('A sheep is a lifeform.', 'A lifeform is not necessarily a sheep.', True)
('A sheep is a eukaryote.', 'A eukaryote is not necessarily a sheep.', True)
('A sheep is a animal.', 'A animal is not necessarily a sheep.', True)
('A shrew is a lifeform.', 'A lifeform is not necessarily a shrew.', True)
('A shrew is a eukaryote.', 'A eukaryote is not necessarily a shrew.', True)
('A shrew is a animal.', 'A animal is not necessarily a shrew.', True)
('A skunk is a lifeform.', 'A lifeform is not necessarily a skunk.', True)
('A skunk is a eukaryote.', 'A eukaryote is not necessarily a skunk.', True)
('A skunk is a animal.', 'A animal is not necessarily a skunk.', True)
('A snail is a lifeform.', 'A lifeform is not necessarily a snail.', True)
('A snail is a eukaryote.', 'A eukaryote is not necessarily a snail.', True)
('A snail is a animal.', 'A animal is not necessarily a snail.', True)
('A snake is a lifeform.', 'A lifeform is not necessarily a snake.', True)
('A snake is a eukaryote.', 'A eukaryote is not necessarily a snake.', True)
('A snake is a animal.', 'A animal is not necessarily a snake.', True)
('A sparrow is a lifeform.', 'A lifeform is not necessarily a sparrow.', True)
('A sparrow is a eukaryote.', 'A eukaryote is not necessarily a sparrow.', True)
('A sparrow is a animal.', 'A animal is not necessarily a sparrow.', True)
('A spider is a lifeform.', 'A lifeform is not necessarily a spider.', True)
('A spider is a eukaryote.', 'A eukaryote is not necessarily a spider.', True)
('A spider is a animal.', 'A animal is not necessarily a spider.', True)
('A squid is a lifeform.', 'A lifeform is not necessarily a squid.', True)
('A squid is a eukaryote.', 'A eukaryote is not necessarily a squid.', True)
('A squid is a animal.', 'A animal is not necessarily a squid.', True)
('A squirrel is a lifeform.', 'A lifeform is not necessarily a squirrel.', True)
('A squirrel is a eukaryote.', 'A eukaryote is not necessarily a squirrel.', True)
('A squirrel is a animal.', 'A animal is not necessarily a squirrel.', True)
('A starling is a lifeform.', 'A lifeform is not necessarily a starling.', True)
('A starling is a eukaryote.', 'A eukaryote is not necessarily a starling.', True)
('A starling is a animal.', 'A animal is not necessarily a starling.', True)
('A stingray is a lifeform.', 'A lifeform is not necessarily a stingray.', True)
('A stingray is a eukaryote.', 'A eukaryote is not necessarily a stingray.', True)
('A stingray is a animal.', 'A animal is not necessarily a stingray.', True)
('A stinkbug is a lifeform.', 'A lifeform is not necessarily a stinkbug.', True)
('A stinkbug is a eukaryote.', 'A eukaryote is not necessarily a stinkbug.', True)
('A stinkbug is a animal.', 'A animal is not necessarily a stinkbug.', True)
('A stork is a lifeform.', 'A lifeform is not necessarily a stork.', True)
('A stork is a eukaryote.', 'A eukaryote is not necessarily a stork.', True)
('A stork is a animal.', 'A animal is not necessarily a stork.', True)
('A swallow is a lifeform.', 'A lifeform is not necessarily a swallow.', True)
('A swallow is a eukaryote.', 'A eukaryote is not necessarily a swallow.', True)
('A swallow is a animal.', 'A animal is not necessarily a swallow.', True)
('A swan is a lifeform.', 'A lifeform is not necessarily a swan.', True)
('A swan is a eukaryote.', 'A eukaryote is not necessarily a swan.', True)
('A swan is a animal.', 'A animal is not necessarily a swan.', True)
('A tapir is a lifeform.', 'A lifeform is not necessarily a tapir.', True)
('A tapir is a eukaryote.', 'A eukaryote is not necessarily a tapir.', True)
('A tapir is a animal.', 'A animal is not necessarily a tapir.', True)
('A tarsier is a lifeform.', 'A lifeform is not necessarily a tarsier.', True)
('A tarsier is a eukaryote.', 'A eukaryote is not necessarily a tarsier.', True)
('A tarsier is a animal.', 'A animal is not necessarily a tarsier.', True)
('A termite is a lifeform.', 'A lifeform is not necessarily a termite.', True)
('A termite is a eukaryote.', 'A eukaryote is not necessarily a termite.', True)
('A termite is a animal.', 'A animal is not necessarily a termite.', True)
('A tiger is a lifeform.', 'A lifeform is not necessarily a tiger.', True)
('A tiger is a eukaryote.', 'A eukaryote is not necessarily a tiger.', True)
('A tiger is a animal.', 'A animal is not necessarily a tiger.', True)
('A toad is a lifeform.', 'A lifeform is not necessarily a toad.', True)
('A toad is a eukaryote.', 'A eukaryote is not necessarily a toad.', True)
('A toad is a animal.', 'A animal is not necessarily a toad.', True)
('A trout is a lifeform.', 'A lifeform is not necessarily a trout.', True)
('A trout is a eukaryote.', 'A eukaryote is not necessarily a trout.', True)
('A trout is a animal.', 'A animal is not necessarily a trout.', True)
('A turkey is a lifeform.', 'A lifeform is not necessarily a turkey.', True)
('A turkey is a eukaryote.', 'A eukaryote is not necessarily a turkey.', True)
('A turkey is a animal.', 'A animal is not necessarily a turkey.', True)
('A turtle is a lifeform.', 'A lifeform is not necessarily a turtle.', True)
('A turtle is a eukaryote.', 'A eukaryote is not necessarily a turtle.', True)
('A turtle is a animal.', 'A animal is not necessarily a turtle.', True)
('A viper is a lifeform.', 'A lifeform is not necessarily a viper.', True)
('A viper is a eukaryote.', 'A eukaryote is not necessarily a viper.', True)
('A viper is a animal.', 'A animal is not necessarily a viper.', True)
('A vulture is a lifeform.', 'A lifeform is not necessarily a vulture.', True)
('A vulture is a eukaryote.', 'A eukaryote is not necessarily a vulture.', True)
('A vulture is a animal.', 'A animal is not necessarily a vulture.', True)
('A wallaby is a lifeform.', 'A lifeform is not necessarily a wallaby.', True)
('A wallaby is a eukaryote.', 'A eukaryote is not necessarily a wallaby.', True)
('A wallaby is a animal.', 'A animal is not necessarily a wallaby.', True)
('A walrus is a lifeform.', 'A lifeform is not necessarily a walrus.', True)
('A walrus is a eukaryote.', 'A eukaryote is not necessarily a walrus.', True)
('A walrus is a animal.', 'A animal is not necessarily a walrus.', True)
('A wasp is a lifeform.', 'A lifeform is not necessarily a wasp.', True)
('A wasp is a eukaryote.', 'A eukaryote is not necessarily a wasp.', True)
('A wasp is a animal.', 'A animal is not necessarily a wasp.', True)
('A weasel is a lifeform.', 'A lifeform is not necessarily a weasel.', True)
('A weasel is a eukaryote.', 'A eukaryote is not necessarily a weasel.', True)
('A weasel is a animal.', 'A animal is not necessarily a weasel.', True)
('A whale is a lifeform.', 'A lifeform is not necessarily a whale.', True)
('A whale is a eukaryote.', 'A eukaryote is not necessarily a whale.', True)
('A whale is a animal.', 'A animal is not necessarily a whale.', True)
('A wildcat is a lifeform.', 'A lifeform is not necessarily a wildcat.', True)
('A wildcat is a eukaryote.', 'A eukaryote is not necessarily a wildcat.', True)
('A wildcat is a animal.', 'A animal is not necessarily a wildcat.', True)
('A wolf is a lifeform.', 'A lifeform is not necessarily a wolf.', True)
('A wolf is a eukaryote.', 'A eukaryote is not necessarily a wolf.', True)
('A wolf is a animal.', 'A animal is not necessarily a wolf.', True)
('A wolverine is a lifeform.', 'A lifeform is not necessarily a wolverine.', True)
('A wolverine is a eukaryote.', 'A eukaryote is not necessarily a wolverine.', True)
('A wolverine is a animal.', 'A animal is not necessarily a wolverine.', True)
('A wombat is a lifeform.', 'A lifeform is not necessarily a wombat.', True)
('A wombat is a eukaryote.', 'A eukaryote is not necessarily a wombat.', True)
('A wombat is a animal.', 'A animal is not necessarily a wombat.', True)
('A woodcock is a lifeform.', 'A lifeform is not necessarily a woodcock.', True)
('A woodcock is a eukaryote.', 'A eukaryote is not necessarily a woodcock.', True)
('A woodcock is a animal.', 'A animal is not necessarily a woodcock.', True)
('A woodpecker is a lifeform.', 'A lifeform is not necessarily a woodpecker.', True)
('A woodpecker is a eukaryote.', 'A eukaryote is not necessarily a woodpecker.', True)
('A woodpecker is a animal.', 'A animal is not necessarily a woodpecker.', True)
('A worm is a lifeform.', 'A lifeform is not necessarily a worm.', True)
('A worm is a eukaryote.', 'A eukaryote is not necessarily a worm.', True)
('A worm is a animal.', 'A animal is not necessarily a worm.', True)
('A wren is a lifeform.', 'A lifeform is not necessarily a wren.', True)
('A wren is a eukaryote.', 'A eukaryote is not necessarily a wren.', True)
('A wren is a animal.', 'A animal is not necessarily a wren.', True)
('A yak is a lifeform.', 'A lifeform is not necessarily a yak.', True)
('A yak is a eukaryote.', 'A eukaryote is not necessarily a yak.', True)
('A yak is a animal.', 'A animal is not necessarily a yak.', True)
('A zebra is a lifeform.', 'A lifeform is not necessarily a zebra.', True)
('A zebra is a eukaryote.', 'A eukaryote is not necessarily a zebra.', True)
('A zebra is a animal.', 'A animal is not necessarily a zebra.', True)
('A plant is a lifeform.', 'A lifeform is not necessarily a plant.', True)
('A plant is a eukaryote.', 'A eukaryote is not necessarily a plant.', True)
('A tree is a lifeform.', 'A lifeform is not necessarily a tree.', True)
('A tree is a eukaryote.', 'A eukaryote is not necessarily a tree.', True)
('A tree is a plant.', 'A plant is not necessarily a tree.', True)
('A grass is a lifeform.', 'A lifeform is not necessarily a grass.', True)
('A grass is a eukaryote.', 'A eukaryote is not necessarily a grass.', True)
('A grass is a plant.', 'A plant is not necessarily a grass.', True)
('A bush is a lifeform.', 'A lifeform is not necessarily a bush.', True)
('A bush is a eukaryote.', 'A eukaryote is not necessarily a bush.', True)
('A bush is a plant.', 'A plant is not necessarily a bush.', True)
('A moss is a lifeform.', 'A lifeform is not necessarily a moss.', True)
('A moss is a eukaryote.', 'A eukaryote is not necessarily a moss.', True)
('A moss is a plant.', 'A plant is not necessarily a moss.', True)
('A fungus is a lifeform.', 'A lifeform is not necessarily a fungus.', True)
('A fungus is a eukaryote.', 'A eukaryote is not necessarily a fungus.', True)
('A protist is a lifeform.', 'A lifeform is not necessarily a protist.', True)
('A protist is a eukaryote.', 'A eukaryote is not necessarily a protist.', True)
('A bacteria is a lifeform.', 'A lifeform is not necessarily a bacteria.', True)
('A archaea is a lifeform.', 'A lifeform is not necessarily a archaea.', True)
('There is a automobile in purdue university.', 'There is a vehicle in purdue university.', True)
('There is a car in indiana.', 'There is a vehicle in indiana.', True)
('There is a car in london.', 'There is a automobile in london.', True)
('There is a truck in purdue university.', 'There is a vehicle in purdue university.', True)
('There is a truck in michigan.', 'There is a automobile in michigan.', True)
('There is a aircraft in hong kong.', 'There is a vehicle in hong kong.', True)
('There is a airplane in san francisco.', 'There is a vehicle in san francisco.', True)
('There is a airplane in chicago.', 'There is a aircraft in chicago.', True)
('There is a blimp in indiana.', 'There is a vehicle in indiana.', True)
('There is a blimp in michigan.', 'There is a aircraft in michigan.', True)
('There is a zeppelin in new york.', 'There is a vehicle in new york.', True)
('There is a zeppelin in hong kong.', 'There is a aircraft in hong kong.', True)
('There is a helicopter in new york.', 'There is a vehicle in new york.', True)
('There is a helicopter in san francisco.', 'There is a aircraft in san francisco.', True)
('There is a watercraft in michigan.', 'There is a vehicle in michigan.', True)
('There is a train in indiana.', 'There is a vehicle in indiana.', True)
('There is a hovercraft in michigan.', 'There is a vehicle in michigan.', True)
('There is a rock & roll album in san francisco.', 'There is a music album in san francisco.', True)
('There is a classic rock album in new york.', 'There is a music album in new york.', True)
('There is a classic rock album in paris.', 'There is a rock & roll album in paris.', True)
('There is a alternative rock album in hong kong.', 'There is a music album in hong kong.', True)
('There is a alternative rock album in michigan.', 'There is a rock & roll album in michigan.', True)
('There is a instrumental rock album in paris.', 'There is a music album in paris.', True)
('There is a instrumental rock album in paris.', 'There is a rock & roll album in paris.', True)
('There is a space rock album in san francisco.', 'There is a music album in san francisco.', True)
('There is a space rock album in london.', 'There is a rock & roll album in london.', True)
('There is a psychadelic rock album in hong kong.', 'There is a music album in hong kong.', True)
('There is a psychadelic rock album in indiana.', 'There is a rock & roll album in indiana.', True)
('There is a hard rock album in paris.', 'There is a music album in paris.', True)
('There is a hard rock album in chicago.', 'There is a rock & roll album in chicago.', True)
('There is a soft rock album in chicago.', 'There is a music album in chicago.', True)
('There is a soft rock album in indiana.', 'There is a rock & roll album in indiana.', True)
('There is a punk rock album in new york.', 'There is a music album in new york.', True)
('There is a punk rock album in san francisco.', 'There is a rock & roll album in san francisco.', True)
('There is a folk rock album in london.', 'There is a music album in london.', True)
('There is a folk rock album in hong kong.', 'There is a rock & roll album in hong kong.', True)
('There is a progressive rock album in chicago.', 'There is a music album in chicago.', True)
('There is a progressive rock album in paris.', 'There is a rock & roll album in paris.', True)
('There is a psychedelic rock album in london.', 'There is a music album in london.', True)
('There is a psychedelic rock album in chicago.', 'There is a rock & roll album in chicago.', True)
('There is a symphonic rock album in michigan.', 'There is a music album in michigan.', True)
('There is a symphonic rock album in chicago.', 'There is a rock & roll album in chicago.', True)
('There is a blues album in purdue university.', 'There is a music album in purdue university.', True)
('There is a country album in san francisco.', 'There is a music album in san francisco.', True)
('There is a dance album in paris.', 'There is a music album in paris.', True)
('There is a disco album in paris.', 'There is a music album in paris.', True)
('There is a funk album in chicago.', 'There is a music album in chicago.', True)
('There is a grunge album in purdue university.', 'There is a music album in purdue university.', True)
('There is a hip-hop album in michigan.', 'There is a music album in michigan.', True)
('There is a jazz album in hong kong.', 'There is a music album in hong kong.', True)
('There is a metal album in purdue university.', 'There is a music album in purdue university.', True)
('There is a death metal album in san francisco.', 'There is a music album in san francisco.', True)
('There is a death metal album in london.', 'There is a metal album in london.', True)
('There is a heavy metal album in chicago.', 'There is a music album in chicago.', True)
('There is a heavy metal album in chicago.', 'There is a metal album in chicago.', True)
('There is a black metal album in new york.', 'There is a music album in new york.', True)
('There is a black metal album in san francisco.', 'There is a metal album in san francisco.', True)
('There is a thrash metal album in paris.', 'There is a music album in paris.', True)
('There is a thrash metal album in london.', 'There is a metal album in london.', True)
('There is a proto-metal album in paris.', 'There is a music album in paris.', True)
('There is a proto-metal album in new york.', 'There is a metal album in new york.', True)
('There is a new age album in chicago.', 'There is a music album in chicago.', True)
('There is a oldies album in purdue university.', 'There is a music album in purdue university.', True)
('There is a pop album in purdue university.', 'There is a music album in purdue university.', True)
('There is a r&b album in london.', 'There is a music album in london.', True)
('There is a rap album in hong kong.', 'There is a music album in hong kong.', True)
('There is a reggae album in indiana.', 'There is a music album in indiana.', True)
('There is a techno album in san francisco.', 'There is a music album in san francisco.', True)
('There is a ska album in new york.', 'There is a music album in new york.', True)
('There is a classical album in new york.', 'There is a music album in new york.', True)
('There is a instrumental album in purdue university.', 'There is a music album in purdue university.', True)
('There is a bass album in chicago.', 'There is a music album in chicago.', True)
('There is a soul album in san francisco.', 'There is a music album in san francisco.', True)
('There is a punk album in indiana.', 'There is a music album in indiana.', True)
('There is a gothic album in new york.', 'There is a music album in new york.', True)
('There is a darkwave album in purdue university.', 'There is a music album in purdue university.', True)
('There is a electronic album in san francisco.', 'There is a music album in san francisco.', True)
('There is a rave album in chicago.', 'There is a music album in chicago.', True)
('There is a showtunes album in michigan.', 'There is a music album in michigan.', True)
('There is a lo-fi album in purdue university.', 'There is a music album in purdue university.', True)
('There is a polka album in london.', 'There is a music album in london.', True)
('There is a retro album in chicago.', 'There is a music album in chicago.', True)
('There is a folk album in hong kong.', 'There is a music album in hong kong.', True)
('There is a bluegrass album in chicago.', 'There is a music album in chicago.', True)
('There is a big band album in london.', 'There is a music album in london.', True)
('There is a opera album in new york.', 'There is a music album in new york.', True)
('There is a symphony album in new york.', 'There is a music album in new york.', True)
('There is a club music album in chicago.', 'There is a music album in chicago.', True)
