('The turtle is in the milky way galaxy.', 'The turtle is in the universe.', True)
('The chef dashed to offaly.', 'The chef was in the milky way galaxy.', True)
('The rally driver ran to offaly.', 'The rally driver was in our solar system.', True)
('The importer journeyed to offaly.', 'The importer was in earth.', True)
('The payroll manager traveled to offaly.', 'The payroll manager was in europe.', True)
('The welder strutted to offaly.', 'The welder was in ireland.', True)
('The cafe staff hobbled to roscommon.', 'The cafe staff was in the universe.', True)
('The plant operator crawled to roscommon.', 'The plant operator was in the milky way galaxy.', True)
('The photographer hopped to roscommon.', 'The photographer was in our solar system.', True)
('The optical swaggered to roscommon.', 'The optical was in earth.', True)
('The storewoman walked to roscommon.', 'The storewoman was in europe.', True)
('The hospital doctor ambled to roscommon.', 'The hospital doctor was in ireland.', True)
('The horticulturalist stomped to sligo.', 'The horticulturalist was in the universe.', True)
('The research analyst hopped to sligo.', 'The research analyst was in the milky way galaxy.', True)
('The bus mechanic stomped to sligo.', 'The bus mechanic was in our solar system.', True)
('The psychotherapist ran to sligo.', 'The psychotherapist was in earth.', True)
('The research analyst jogged to sligo.', 'The research analyst was in europe.', True)
('The production engineer traveled to sligo.', 'The production engineer was in ireland.', True)
('The typewriter engineer dashed to tipperary.', 'The typewriter engineer was in the universe.', True)
('The log merchant traveled to tipperary.', 'The log merchant was in the milky way galaxy.', True)
('The packaging sprinted to tipperary.', 'The packaging was in our solar system.', True)
('The traffic warden hobbled to tipperary.', 'The traffic warden was in earth.', True)
('The bacon curer waddled to tipperary.', 'The bacon curer was in europe.', True)
('The translator rushed to tipperary.', 'The translator was in ireland.', True)
('The trade mark agent crawled to waterford.', 'The trade mark agent was in the universe.', True)
('The licensee traveled to waterford.', 'The licensee was in the milky way galaxy.', True)
('The manicurist strutted to waterford.', 'The manicurist was in our solar system.', True)
('The meat inspector traveled to waterford.', 'The meat inspector was in earth.', True)
('The saddler dashed to waterford.', 'The saddler was in europe.', True)
('The nurse went to waterford.', 'The nurse was in ireland.', True)
('The hawker journeyed to westmeath.', 'The hawker was in the universe.', True)
('The undertaker walked to westmeath.', 'The undertaker was in the milky way galaxy.', True)
('The tachograph analyst ran to westmeath.', 'The tachograph analyst was in our solar system.', True)
('The driver ran to westmeath.', 'The driver was in earth.', True)
('The baggage handler journeyed to westmeath.', 'The baggage handler was in europe.', True)
('The housewife crawled to westmeath.', 'The housewife was in ireland.', True)
('The show jumper traveled to wexford.', 'The show jumper was in the universe.', True)
('The undertaker strutted to wexford.', 'The undertaker was in the milky way galaxy.', True)
('The oil broker jogged to wexford.', 'The oil broker was in our solar system.', True)
('The systems manager sauntered to wexford.', 'The systems manager was in earth.', True)
('The driver stomped to wexford.', 'The driver was in europe.', True)
('The catering manager dashed to wexford.', 'The catering manager was in ireland.', True)
('The pastry chef hopped to wicklow.', 'The pastry chef was in the universe.', True)
('The stockman hobbled to wicklow.', 'The stockman was in the milky way galaxy.', True)
('The bar steward sauntered to wicklow.', 'The bar steward was in our solar system.', True)
('The shop assistant swaggered to wicklow.', 'The shop assistant was in earth.', True)
('The paediatrician went to wicklow.', 'The paediatrician was in europe.', True)
('The software consultant journeyed to wicklow.', 'The software consultant was in ireland.', True)
('The works manager jogged to lithuania.', 'The works manager was in the universe.', True)
('The organiser crawled to lithuania.', 'The organiser was in the milky way galaxy.', True)
('The gun smith rushed to lithuania.', 'The gun smith was in our solar system.', True)
('The stud hand traveled to lithuania.', 'The stud hand was in earth.', True)
('The garda dashed to lithuania.', 'The garda was in europe.', True)
('The showman sprinted to latvia.', 'The showman was in the universe.', True)
('The publicity manager jogged to latvia.', 'The publicity manager was in the milky way galaxy.', True)
('The gate keeper strutted to latvia.', 'The gate keeper was in our solar system.', True)
('The furniture dealer hopped to latvia.', 'The furniture dealer was in earth.', True)
('The gravel merchant went to latvia.', 'The gravel merchant was in europe.', True)
('The artexer crawled to croatia.', 'The artexer was in the universe.', True)
('The employment traveled to croatia.', 'The employment was in the milky way galaxy.', True)
('The archivist rushed to croatia.', 'The archivist was in our solar system.', True)
('The catering manager dashed to croatia.', 'The catering manager was in earth.', True)
('The plant manager sauntered to croatia.', 'The plant manager was in europe.', True)
('The pool attendant jogged to boznia.', 'The pool attendant was in the universe.', True)
('The audiologist hopped to boznia.', 'The audiologist was in the milky way galaxy.', True)
('The joinery consultant walked to boznia.', 'The joinery consultant was in our solar system.', True)
('The inspector ambled to boznia.', 'The inspector was in earth.', True)
('The shelf filler hobbled to boznia.', 'The shelf filler was in europe.', True)
('The weaver traveled to slovakia.', 'The weaver was in the universe.', True)
('The business proprietor hobbled to slovakia.', 'The business proprietor was in the milky way galaxy.', True)
('The insurance staff rushed to slovakia.', 'The insurance staff was in our solar system.', True)
('The building surveyor traveled to slovakia.', 'The building surveyor was in earth.', True)
('The lineman hopped to slovakia.', 'The lineman was in europe.', True)
('The ship builder waddled to estonia.', 'The ship builder was in the universe.', True)
('The receptionist jogged to estonia.', 'The receptionist was in the milky way galaxy.', True)
('The audit manager stomped to estonia.', 'The audit manager was in our solar system.', True)
('The training officer crawled to estonia.', 'The training officer was in earth.', True)
('The taxidermist journeyed to estonia.', 'The taxidermist was in europe.', True)
('The packaging ambled to denmark.', 'The packaging was in the universe.', True)
('The bar steward walked to denmark.', 'The bar steward was in the milky way galaxy.', True)
('The warehouse manager stomped to denmark.', 'The warehouse manager was in our solar system.', True)
('The messenger walked to denmark.', 'The messenger was in earth.', True)
('The optical advisor swaggered to denmark.', 'The optical advisor was in europe.', True)
('The shipyard worker waddled to switzerland.', 'The shipyard worker was in the universe.', True)
('The horticultural consultant sprinted to switzerland.', 'The horticultural consultant was in the milky way galaxy.', True)
('The haulage contractor hobbled to switzerland.', 'The haulage contractor was in our solar system.', True)
('The miner crawled to switzerland.', 'The miner was in earth.', True)
('The project engineer traveled to switzerland.', 'The project engineer was in europe.', True)
('The outreach worker went to the netherlands.', 'The outreach worker was in the universe.', True)
('The assistant cook strutted to the netherlands.', 'The assistant cook was in the milky way galaxy.', True)
('The hop merchant ran to the netherlands.', 'The hop merchant was in our solar system.', True)
('The soldier stomped to the netherlands.', 'The soldier was in earth.', True)
('The astrologer stomped to the netherlands.', 'The astrologer was in europe.', True)
('The airman strutted to moldova.', 'The airman was in the universe.', True)
('The product installer dashed to moldova.', 'The product installer was in the milky way galaxy.', True)
('The genealogist sprinted to moldova.', 'The genealogist was in our solar system.', True)
('The solicitor hopped to moldova.', 'The solicitor was in earth.', True)
('The tattooist swaggered to moldova.', 'The tattooist was in europe.', True)
('The microbiologist waddled to belgium.', 'The microbiologist was in the universe.', True)
('The haulage contractor dashed to belgium.', 'The haulage contractor was in the milky way galaxy.', True)
('The careers officer swaggered to belgium.', 'The careers officer was in our solar system.', True)
('The carpet retailer sauntered to belgium.', 'The carpet retailer was in earth.', True)
('The training advisor rushed to belgium.', 'The training advisor was in europe.', True)
('The homeworker went to armenia.', 'The homeworker was in the universe.', True)
('The doctor hobbled to armenia.', 'The doctor was in the milky way galaxy.', True)
('The health and safety sprinted to armenia.', 'The health and safety was in our solar system.', True)
('The investment manager ambled to armenia.', 'The investment manager was in earth.', True)
('The accounts manager traveled to armenia.', 'The accounts manager was in europe.', True)
('The medical researcher dashed to albania.', 'The medical researcher was in the universe.', True)
('The gas mechanic dashed to albania.', 'The gas mechanic was in the milky way galaxy.', True)
('The window cleaner rushed to albania.', 'The window cleaner was in our solar system.', True)
('The insurance broker traveled to albania.', 'The insurance broker was in earth.', True)
('The it consultant hobbled to albania.', 'The it consultant was in europe.', True)
('The ventriloquist ran to north macedonia.', 'The ventriloquist was in the universe.', True)
('The wood worker sauntered to north macedonia.', 'The wood worker was in the milky way galaxy.', True)
('The chimney sweep crawled to north macedonia.', 'The chimney sweep was in our solar system.', True)
('The aerial erector sprinted to north macedonia.', 'The aerial erector was in earth.', True)
('The veterinary surgeon stomped to north macedonia.', 'The veterinary surgeon was in europe.', True)
('The floor manager stomped to turkey.', 'The floor manager was in the universe.', True)
('The gaming club proprietor stomped to turkey.', 'The gaming club proprietor was in the milky way galaxy.', True)
('The shop assistant waddled to turkey.', 'The shop assistant was in our solar system.', True)
('The cameraman waddled to turkey.', 'The cameraman was in earth.', True)
('The safety officer waddled to turkey.', 'The safety officer was in europe.', True)
('The trainee manager journeyed to slovenia.', 'The trainee manager was in the universe.', True)
('The quality controller strutted to slovenia.', 'The quality controller was in the milky way galaxy.', True)
('The local government strutted to slovenia.', 'The local government was in our solar system.', True)
('The packaging hobbled to slovenia.', 'The packaging was in earth.', True)
('The publisher jogged to slovenia.', 'The publisher was in europe.', True)
('The stock controller went to montenegro.', 'The stock controller was in the universe.', True)
('The quality inspector journeyed to montenegro.', 'The quality inspector was in the milky way galaxy.', True)
('The medical assistant rushed to montenegro.', 'The medical assistant was in our solar system.', True)
('The mattress maker traveled to montenegro.', 'The mattress maker was in earth.', True)
('The refrigeration engineer walked to montenegro.', 'The refrigeration engineer was in europe.', True)
('The probation worker hobbled to kosovo.', 'The probation worker was in the universe.', True)
('The circus worker went to kosovo.', 'The circus worker was in the milky way galaxy.', True)
('The relocation agent hobbled to kosovo.', 'The relocation agent was in our solar system.', True)
('The stenographer rushed to kosovo.', 'The stenographer was in earth.', True)
('The party planner hobbled to kosovo.', 'The party planner was in europe.', True)
('The remedial therapist hobbled to cyprus.', 'The remedial therapist was in the universe.', True)
('The painter jogged to cyprus.', 'The painter was in the milky way galaxy.', True)
('The technical director ran to cyprus.', 'The technical director was in our solar system.', True)
('The typewriter engineer jogged to cyprus.', 'The typewriter engineer was in earth.', True)
('The actor rushed to cyprus.', 'The actor was in europe.', True)
('The sheriff dashed to azerbaijan.', 'The sheriff was in the universe.', True)
('The loss adjustor swaggered to azerbaijan.', 'The loss adjustor was in the milky way galaxy.', True)
('The sports commentator strutted to azerbaijan.', 'The sports commentator was in our solar system.', True)
('The telegraphist traveled to azerbaijan.', 'The telegraphist was in earth.', True)
('The planning officer journeyed to azerbaijan.', 'The planning officer was in europe.', True)
('The toy maker waddled to luxembourg.', 'The toy maker was in the universe.', True)
('The hgv driver stomped to luxembourg.', 'The hgv driver was in the milky way galaxy.', True)
('The industrial chemist waddled to luxembourg.', 'The industrial chemist was in our solar system.', True)
('The historian stomped to luxembourg.', 'The historian was in earth.', True)
('The butcher sprinted to luxembourg.', 'The butcher was in europe.', True)
('The economist waddled to andorra.', 'The economist was in the universe.', True)
('The gas mechanic strutted to andorra.', 'The gas mechanic was in the milky way galaxy.', True)
('The loss adjustor traveled to andorra.', 'The loss adjustor was in our solar system.', True)
('The entertainer waddled to andorra.', 'The entertainer was in earth.', True)
('The foster parent dashed to andorra.', 'The foster parent was in europe.', True)
('The panel beater waddled to malta.', 'The panel beater was in the universe.', True)
('The librarian sauntered to malta.', 'The librarian was in the milky way galaxy.', True)
('The shoe maker rushed to malta.', 'The shoe maker was in our solar system.', True)
('The licensee swaggered to malta.', 'The licensee was in earth.', True)
('The cable tv installer walked to malta.', 'The cable tv installer was in europe.', True)
('The licensed premises ambled to asia.', 'The licensed premises was in the universe.', True)
('The planning technician sauntered to asia.', 'The planning technician was in the milky way galaxy.', True)
('The loss assessor sprinted to asia.', 'The loss assessor was in our solar system.', True)
('The travel consultant crawled to asia.', 'The travel consultant was in earth.', True)
('The pilot hopped to afghanistan.', 'The pilot was in the universe.', True)
('The mattress maker strutted to afghanistan.', 'The mattress maker was in the milky way galaxy.', True)
('The textile consultant sprinted to afghanistan.', 'The textile consultant was in our solar system.', True)
('The track worker hobbled to afghanistan.', 'The track worker was in earth.', True)
('The word processing operator dashed to afghanistan.', 'The word processing operator was in asia.', True)
('The mineralologist sauntered to armenia.', 'The mineralologist was in the universe.', True)
('The polisher hobbled to armenia.', 'The polisher was in the milky way galaxy.', True)
('The insurance consultant dashed to armenia.', 'The insurance consultant was in our solar system.', True)
('The tax consultant sprinted to armenia.', 'The tax consultant was in earth.', True)
('The vehicle technician crawled to armenia.', 'The vehicle technician was in asia.', True)
('The marine broker journeyed to bahrain.', 'The marine broker was in the universe.', True)
('The lampshade maker sauntered to bahrain.', 'The lampshade maker was in the milky way galaxy.', True)
('The upholsterer sprinted to bahrain.', 'The upholsterer was in our solar system.', True)
('The technical editor journeyed to bahrain.', 'The technical editor was in earth.', True)
('The watchmaker journeyed to bahrain.', 'The watchmaker was in asia.', True)
('The potter sprinted to bangladesh.', 'The potter was in the universe.', True)
('The careers advisor waddled to bangladesh.', 'The careers advisor was in the milky way galaxy.', True)
('The practice manager crawled to bangladesh.', 'The practice manager was in our solar system.', True)
('The marketing agent journeyed to bangladesh.', 'The marketing agent was in earth.', True)
('The travel agent sprinted to bangladesh.', 'The travel agent was in asia.', True)
('The cafe owner went to bhutan.', 'The cafe owner was in the universe.', True)
('The agent hobbled to bhutan.', 'The agent was in the milky way galaxy.', True)
('The shipwright dashed to bhutan.', 'The shipwright was in our solar system.', True)
('The optical assistant swaggered to bhutan.', 'The optical assistant was in earth.', True)
('The party planner went to bhutan.', 'The party planner was in asia.', True)
('The tea blender ran to brunei.', 'The tea blender was in the universe.', True)
('The blacksmith traveled to brunei.', 'The blacksmith was in the milky way galaxy.', True)
('The landlady waddled to brunei.', 'The landlady was in our solar system.', True)
('The textile consultant dashed to brunei.', 'The textile consultant was in earth.', True)
('The insurance broker hopped to brunei.', 'The insurance broker was in asia.', True)
('The wheel clamper crawled to cambodia.', 'The wheel clamper was in the universe.', True)
('The planning engineer sprinted to cambodia.', 'The planning engineer was in the milky way galaxy.', True)
('The writer walked to cambodia.', 'The writer was in our solar system.', True)
('The moneylender rushed to cambodia.', 'The moneylender was in earth.', True)
('The training assistant swaggered to cambodia.', 'The training assistant was in asia.', True)
('The radiographer went to china.', 'The radiographer was in the universe.', True)
('The minibus driver dashed to china.', 'The minibus driver was in the milky way galaxy.', True)
('The shot blaster walked to china.', 'The shot blaster was in our solar system.', True)
('The town clerk jogged to china.', 'The town clerk was in earth.', True)
('The technical clerk ran to china.', 'The technical clerk was in asia.', True)
('The translator crawled to cyprus.', 'The translator was in the universe.', True)
('The song writer swaggered to cyprus.', 'The song writer was in the milky way galaxy.', True)
('The insurance assessor sauntered to cyprus.', 'The insurance assessor was in our solar system.', True)
('The betting shop traveled to cyprus.', 'The betting shop was in earth.', True)
('The hotel consultant waddled to cyprus.', 'The hotel consultant was in asia.', True)
('The cargo operator waddled to india.', 'The cargo operator was in the universe.', True)
('The pattern weaver journeyed to india.', 'The pattern weaver was in the milky way galaxy.', True)
('The screen printer traveled to india.', 'The screen printer was in our solar system.', True)
('The analytical chemist journeyed to india.', 'The analytical chemist was in earth.', True)
('The bakery manager stomped to india.', 'The bakery manager was in asia.', True)
('The fund raiser ran to indonesia.', 'The fund raiser was in the universe.', True)
('The research technician traveled to indonesia.', 'The research technician was in the milky way galaxy.', True)
('The blacksmith swaggered to indonesia.', 'The blacksmith was in our solar system.', True)
('The bingo caller waddled to indonesia.', 'The bingo caller was in earth.', True)
('The wholesale newspaper sauntered to indonesia.', 'The wholesale newspaper was in asia.', True)
('The health consultant crawled to iran.', 'The health consultant was in the universe.', True)
('The attendant sprinted to iran.', 'The attendant was in the milky way galaxy.', True)
('The machine tool jogged to iran.', 'The machine tool was in our solar system.', True)
('The brewery manager waddled to iran.', 'The brewery manager was in earth.', True)
('The rug maker jogged to iran.', 'The rug maker was in asia.', True)
('The charity worker strutted to iraq.', 'The charity worker was in the universe.', True)
('The works manager jogged to iraq.', 'The works manager was in the milky way galaxy.', True)
('The racehorse groom ambled to iraq.', 'The racehorse groom was in our solar system.', True)
('The training consultant hobbled to iraq.', 'The training consultant was in earth.', True)
('The aeronautical engineer hopped to iraq.', 'The aeronautical engineer was in asia.', True)
('The technical clerk crawled to israel.', 'The technical clerk was in the universe.', True)
('The lineman waddled to israel.', 'The lineman was in the milky way galaxy.', True)
('The share dealer strutted to israel.', 'The share dealer was in our solar system.', True)
('The cable tv installer rushed to israel.', 'The cable tv installer was in earth.', True)
('The audit manager hopped to israel.', 'The audit manager was in asia.', True)
('The industrial consultant waddled to japan.', 'The industrial consultant was in the universe.', True)
('The planning technician stomped to japan.', 'The planning technician was in the milky way galaxy.', True)
('The church officer rushed to japan.', 'The church officer was in our solar system.', True)
('The bus valeter waddled to japan.', 'The bus valeter was in earth.', True)
('The jazz composer sauntered to japan.', 'The jazz composer was in asia.', True)
('The sheriff clerk went to jordan.', 'The sheriff clerk was in the universe.', True)
('The boat builder stomped to jordan.', 'The boat builder was in the milky way galaxy.', True)
('The merchandiser ran to jordan.', 'The merchandiser was in our solar system.', True)
('The furrier crawled to jordan.', 'The furrier was in earth.', True)
('The assistant manager sauntered to jordan.', 'The assistant manager was in asia.', True)
('The literary editor rushed to kazakhstan.', 'The literary editor was in the universe.', True)
('The trout farmer sauntered to kazakhstan.', 'The trout farmer was in the milky way galaxy.', True)
('The cleaner dashed to kazakhstan.', 'The cleaner was in our solar system.', True)
('The mattress maker dashed to kazakhstan.', 'The mattress maker was in earth.', True)
('The sales executive sprinted to kazakhstan.', 'The sales executive was in asia.', True)
('The instrument supervisor rushed to kuwait.', 'The instrument supervisor was in the universe.', True)
('The engineer waddled to kuwait.', 'The engineer was in the milky way galaxy.', True)
('The sheriff principal ran to kuwait.', 'The sheriff principal was in our solar system.', True)
('The horticulturalist traveled to kuwait.', 'The horticulturalist was in earth.', True)
('The civil servant walked to kuwait.', 'The civil servant was in asia.', True)
('The radio engineer journeyed to kyrgyzstan.', 'The radio engineer was in the universe.', True)
('The catering manager sprinted to kyrgyzstan.', 'The catering manager was in the milky way galaxy.', True)
('The presser ambled to kyrgyzstan.', 'The presser was in our solar system.', True)
('The night porter ambled to kyrgyzstan.', 'The night porter was in earth.', True)
('The machine fitters journeyed to kyrgyzstan.', 'The machine fitters was in asia.', True)
('The receptionist waddled to laos.', 'The receptionist was in the universe.', True)
('The violinist swaggered to laos.', 'The violinist was in the milky way galaxy.', True)
('The thermal engineer sprinted to laos.', 'The thermal engineer was in our solar system.', True)
('The typist strutted to laos.', 'The typist was in earth.', True)
('The blind fitter walked to laos.', 'The blind fitter was in asia.', True)
('The seaman dashed to lebanon.', 'The seaman was in the universe.', True)
('The merchant banker ran to lebanon.', 'The merchant banker was in the milky way galaxy.', True)
('The screen writer sprinted to lebanon.', 'The screen writer was in our solar system.', True)
('The merchant banker dashed to lebanon.', 'The merchant banker was in earth.', True)
('The architect hobbled to lebanon.', 'The architect was in asia.', True)
('The plater walked to malaysia.', 'The plater was in the universe.', True)
('The cab driver waddled to malaysia.', 'The cab driver was in the milky way galaxy.', True)
('The it consultant ambled to malaysia.', 'The it consultant was in our solar system.', True)
('The song writer waddled to malaysia.', 'The song writer was in earth.', True)
('The trichologist traveled to malaysia.', 'The trichologist was in asia.', True)
('The payroll assistant strutted to maldives.', 'The payroll assistant was in the universe.', True)
('The parts manager ran to maldives.', 'The parts manager was in the milky way galaxy.', True)
('The works manager swaggered to maldives.', 'The works manager was in our solar system.', True)
('The night watchman walked to maldives.', 'The night watchman was in earth.', True)
('The social worker stomped to maldives.', 'The social worker was in asia.', True)
('The circus proprietor stomped to mongolia.', 'The circus proprietor was in the universe.', True)
('The marine broker went to mongolia.', 'The marine broker was in the milky way galaxy.', True)
('The auctioneer ambled to mongolia.', 'The auctioneer was in our solar system.', True)
('The musician strutted to mongolia.', 'The musician was in earth.', True)
('The word processing operator walked to mongolia.', 'The word processing operator was in asia.', True)
('The stockbroker ran to myanmar.', 'The stockbroker was in the universe.', True)
('The ornamental waddled to myanmar.', 'The ornamental was in the milky way galaxy.', True)
('The independent means ran to myanmar.', 'The independent means was in our solar system.', True)
('The systems engineer crawled to myanmar.', 'The systems engineer was in earth.', True)
('The plastics consultant journeyed to myanmar.', 'The plastics consultant was in asia.', True)
('The shop fitter stomped to nepal.', 'The shop fitter was in the universe.', True)
('The shelf filler traveled to nepal.', 'The shelf filler was in the milky way galaxy.', True)
('The lecturer sauntered to nepal.', 'The lecturer was in our solar system.', True)
('The share dealer traveled to nepal.', 'The share dealer was in earth.', True)
('The tax assistant stomped to nepal.', 'The tax assistant was in asia.', True)
('The homeworker stomped to north korea.', 'The homeworker was in the universe.', True)
('The wheel clamper walked to north korea.', 'The wheel clamper was in the milky way galaxy.', True)
('The refrigeration engineer swaggered to north korea.', 'The refrigeration engineer was in our solar system.', True)
('The skipper ran to north korea.', 'The skipper was in earth.', True)
('The sports administrator ran to north korea.', 'The sports administrator was in asia.', True)
('The book-keeper hobbled to oman.', 'The book-keeper was in the universe.', True)
('The ambulance crew ran to oman.', 'The ambulance crew was in the milky way galaxy.', True)
('The church officer strutted to oman.', 'The church officer was in our solar system.', True)
('The shift controller hopped to oman.', 'The shift controller was in earth.', True)
('The press operator journeyed to oman.', 'The press operator was in asia.', True)
('The boat builder dashed to pakistan.', 'The boat builder was in the universe.', True)
('The cable jointer ambled to pakistan.', 'The cable jointer was in the milky way galaxy.', True)
('The roadworker strutted to pakistan.', 'The roadworker was in our solar system.', True)
('The telecommunications traveled to pakistan.', 'The telecommunications was in earth.', True)
('The cleaner stomped to pakistan.', 'The cleaner was in asia.', True)
('The tiler hobbled to palestine.', 'The tiler was in the universe.', True)
('The social worker crawled to palestine.', 'The social worker was in the milky way galaxy.', True)
('The shift controller strutted to palestine.', 'The shift controller was in our solar system.', True)
('The administration staff crawled to palestine.', 'The administration staff was in earth.', True)
('The television producer sauntered to palestine.', 'The television producer was in asia.', True)
('The precision engineer waddled to philippines.', 'The precision engineer was in the universe.', True)
('The gamekeeper hopped to philippines.', 'The gamekeeper was in the milky way galaxy.', True)
('The broadcaster swaggered to philippines.', 'The broadcaster was in our solar system.', True)
('The technical manager walked to philippines.', 'The technical manager was in earth.', True)
('The planning manager crawled to philippines.', 'The planning manager was in asia.', True)
('The transport manager journeyed to qatar.', 'The transport manager was in the universe.', True)
('The artexer waddled to qatar.', 'The artexer was in the milky way galaxy.', True)
('The claims adjustor hobbled to qatar.', 'The claims adjustor was in our solar system.', True)
('The stone sawyer strutted to qatar.', 'The stone sawyer was in earth.', True)
('The industrial consultant journeyed to qatar.', 'The industrial consultant was in asia.', True)
('The plasterer crawled to saudi arabia.', 'The plasterer was in the universe.', True)
('The packaging stomped to saudi arabia.', 'The packaging was in the milky way galaxy.', True)
('The ship broker sprinted to saudi arabia.', 'The ship broker was in our solar system.', True)
('The audit clerk sprinted to saudi arabia.', 'The audit clerk was in earth.', True)
('The share dealer walked to saudi arabia.', 'The share dealer was in asia.', True)
('The museum attendant hopped to  singapore.', 'The museum attendant was in the universe.', True)
('The chimney sweep rushed to  singapore.', 'The chimney sweep was in the milky way galaxy.', True)
('The carpet fitter swaggered to  singapore.', 'The carpet fitter was in our solar system.', True)
('The booking agent hopped to  singapore.', 'The booking agent was in earth.', True)
('The ceiling contractor crawled to  singapore.', 'The ceiling contractor was in asia.', True)
('The training co-ordinator strutted to south korea.', 'The training co-ordinator was in the universe.', True)
('The pastry chef crawled to south korea.', 'The pastry chef was in the milky way galaxy.', True)
('The minicab driver hopped to south korea.', 'The minicab driver was in our solar system.', True)
('The technical analyst went to south korea.', 'The technical analyst was in earth.', True)
('The welfare rights officer walked to south korea.', 'The welfare rights officer was in asia.', True)
('The tax consultant crawled to sri lanka.', 'The tax consultant was in the universe.', True)
('The orthopaedic walked to sri lanka.', 'The orthopaedic was in the milky way galaxy.', True)
('The pig man swaggered to sri lanka.', 'The pig man was in our solar system.', True)
('The kitchen worker ran to sri lanka.', 'The kitchen worker was in earth.', True)
('The word processing operator dashed to sri lanka.', 'The word processing operator was in asia.', True)
('The recorder traveled to syria.', 'The recorder was in the universe.', True)
('The plumber waddled to syria.', 'The plumber was in the milky way galaxy.', True)
('The travel agent crawled to syria.', 'The travel agent was in our solar system.', True)
('The hotel consultant ran to syria.', 'The hotel consultant was in earth.', True)
('The arborist journeyed to syria.', 'The arborist was in asia.', True)
('The jewellery strutted to taiwan.', 'The jewellery was in the universe.', True)
('The bar manager traveled to taiwan.', 'The bar manager was in the milky way galaxy.', True)
('The cable contractor rushed to taiwan.', 'The cable contractor was in our solar system.', True)
('The restaurateur strutted to taiwan.', 'The restaurateur was in earth.', True)
('The sub-postmaster hobbled to taiwan.', 'The sub-postmaster was in asia.', True)
('The stone cutter ran to tajikistan.', 'The stone cutter was in the universe.', True)
('The aircraft engineer hobbled to tajikistan.', 'The aircraft engineer was in the milky way galaxy.', True)
('The plater went to tajikistan.', 'The plater was in our solar system.', True)
('The arts waddled to tajikistan.', 'The arts was in earth.', True)
('The art historian dashed to tajikistan.', 'The art historian was in asia.', True)
('The outdoor pursuits jogged to thailand.', 'The outdoor pursuits was in the universe.', True)
('The travel agent stomped to thailand.', 'The travel agent was in the milky way galaxy.', True)
('The hostess jogged to thailand.', 'The hostess was in our solar system.', True)
('The travel consultant jogged to thailand.', 'The travel consultant was in earth.', True)
('The aeronautical engineer strutted to thailand.', 'The aeronautical engineer was in asia.', True)
('The paint consultant went to turkey.', 'The paint consultant was in the universe.', True)
('The rig worker traveled to turkey.', 'The rig worker was in the milky way galaxy.', True)
('The pawnbroker went to turkey.', 'The pawnbroker was in our solar system.', True)
('The auctioneer ambled to turkey.', 'The auctioneer was in earth.', True)
('The investment strategist strutted to turkey.', 'The investment strategist was in asia.', True)
('The marine consultant stomped to turkmenistan.', 'The marine consultant was in the universe.', True)
('The operator rushed to turkmenistan.', 'The operator was in the milky way galaxy.', True)
('The furniture dealer waddled to turkmenistan.', 'The furniture dealer was in our solar system.', True)
('The aeronautical engineer traveled to turkmenistan.', 'The aeronautical engineer was in earth.', True)
('The lathe operator traveled to turkmenistan.', 'The lathe operator was in asia.', True)
('The sound engineer rushed to the united arab emirates.', 'The sound engineer was in the universe.', True)
('The night watchman strutted to the united arab emirates.', 'The night watchman was in the milky way galaxy.', True)
('The line worker waddled to the united arab emirates.', 'The line worker was in our solar system.', True)
('The building inspector journeyed to the united arab emirates.', 'The building inspector was in earth.', True)
('The counsellor strutted to the united arab emirates.', 'The counsellor was in asia.', True)
('The journalist rushed to uzbekistan.', 'The journalist was in the universe.', True)
('The aeronautical engineer waddled to uzbekistan.', 'The aeronautical engineer was in the milky way galaxy.', True)
('The tool maker strutted to uzbekistan.', 'The tool maker was in our solar system.', True)
('The library manager crawled to uzbekistan.', 'The library manager was in earth.', True)
('The envoy hopped to uzbekistan.', 'The envoy was in asia.', True)
('The book seller ran to vietnam.', 'The book seller was in the universe.', True)
('The keep fit instructor traveled to vietnam.', 'The keep fit instructor was in the milky way galaxy.', True)
('The production planner walked to vietnam.', 'The production planner was in our solar system.', True)
('The picture framer sauntered to vietnam.', 'The picture framer was in earth.', True)
('The maid waddled to vietnam.', 'The maid was in asia.', True)
('The bus mechanic swaggered to yemen.', 'The bus mechanic was in the universe.', True)
('The floor manager stomped to yemen.', 'The floor manager was in the milky way galaxy.', True)
('The microbiologist ran to yemen.', 'The microbiologist was in our solar system.', True)
('The administration staff dashed to yemen.', 'The administration staff was in earth.', True)
('The gas technician went to yemen.', 'The gas technician was in asia.', True)
('The actress crawled to australia.', 'The actress was in the universe.', True)
('The industrial chemist ran to australia.', 'The industrial chemist was in the milky way galaxy.', True)
('The calibration manager swaggered to australia.', 'The calibration manager was in our solar system.', True)
('The museum assistant hopped to australia.', 'The museum assistant was in earth.', True)
('The newsagent sauntered to new south wales.', 'The newsagent was in the universe.', True)
('The project manager rushed to new south wales.', 'The project manager was in the milky way galaxy.', True)
('The chiropractor sprinted to new south wales.', 'The chiropractor was in our solar system.', True)
('The prison officer stomped to new south wales.', 'The prison officer was in earth.', True)
('The bodyguard hopped to new south wales.', 'The bodyguard was in australia.', True)
('The knitter hobbled to northern territory.', 'The knitter was in the universe.', True)
('The surgeon stomped to northern territory.', 'The surgeon was in the milky way galaxy.', True)
