('neighborhoods contain cities', 'neighborhoods are found in cities.', False)
('joinery consultants says books are composed of sentences', 'Some joinery consultants says books consists of sentences.', False)
('journalists says books are composed of sentences', 'Some journalists says books consists of sentences.', False)
('judges says books are composed of sentences', 'Some judges says books consists of sentences.', False)
('keep fit instructors says books are composed of sentences', 'Some keep fit instructors says books consists of sentences.', False)
('kennel hands says books are composed of sentences', 'Some kennel hands says books consists of sentences.', False)
('kitchen workers says books are composed of sentences', 'Some kitchen workers says books consists of sentences.', False)
('knitters says books are composed of sentences', 'Some knitters says books consists of sentences.', False)
('labelling operators says books are composed of sentences', 'Some labelling operators says books consists of sentences.', False)
('laboratory analysts says books are composed of sentences', 'Some laboratory analysts says books consists of sentences.', False)
('labourers says books are composed of sentences', 'Some labourers says books consists of sentences.', False)
('laminators says books are composed of sentences', 'Some laminators says books consists of sentences.', False)
('lampshade makers says books are composed of sentences', 'Some lampshade makers says books consists of sentences.', False)
('land agents says books are composed of sentences', 'Some land agents says books consists of sentences.', False)
('land surveyors says books are composed of sentences', 'Some land surveyors says books consists of sentences.', False)
('landladys says books are composed of sentences', 'Some landladys says books consists of sentences.', False)
('landlords says books are composed of sentences', 'Some landlords says books consists of sentences.', False)
('landowners says books are composed of sentences', 'Some landowners says books consists of sentences.', False)
('landworkers says books are composed of sentences', 'Some landworkers says books consists of sentences.', False)
('lathe operators says books are composed of sentences', 'Some lathe operators says books consists of sentences.', False)
('laundry staffs says books are composed of sentences', 'Some laundry staffs says books consists of sentences.', False)
('laundry workers says books are composed of sentences', 'Some laundry workers says books consists of sentences.', False)
('lavatory attendants says books are composed of sentences', 'Some lavatory attendants says books consists of sentences.', False)
('law clerks says books are composed of sentences', 'Some law clerks says books consists of sentences.', False)
('lawn mowers says books are composed of sentences', 'Some lawn mowers says books consists of sentences.', False)
('lawyers says books are composed of sentences', 'Some lawyers says books consists of sentences.', False)
('leaflet distributors says books are composed of sentences', 'Some leaflet distributors says books consists of sentences.', False)
('leather workers says books are composed of sentences', 'Some leather workers says books consists of sentences.', False)
('lecturers says books are composed of sentences', 'Some lecturers says books consists of sentences.', False)
('ledger clerks says books are composed of sentences', 'Some ledger clerks says books consists of sentences.', False)
('legal advisors says books are composed of sentences', 'Some legal advisors says books consists of sentences.', False)
('legal assistants says books are composed of sentences', 'Some legal assistants says books consists of sentences.', False)
('legal executives says books are composed of sentences', 'Some legal executives says books consists of sentences.', False)
('legal secretarys says books are composed of sentences', 'Some legal secretarys says books consists of sentences.', False)
('letting agents says books are composed of sentences', 'Some letting agents says books consists of sentences.', False)
('liaison officers says books are composed of sentences', 'Some liaison officers says books consists of sentences.', False)
('librarians says books are composed of sentences', 'Some librarians says books consists of sentences.', False)
('library managers says books are composed of sentences', 'Some library managers says books consists of sentences.', False)
('licensed premisess says books are composed of sentences', 'Some licensed premisess says books consists of sentences.', False)
('licensees says books are composed of sentences', 'Some licensees says books consists of sentences.', False)
('licensings says books are composed of sentences', 'Some licensings says books consists of sentences.', False)
('lifeguards says books are composed of sentences', 'Some lifeguards says books consists of sentences.', False)
('lift attendants says books are composed of sentences', 'Some lift attendants says books consists of sentences.', False)
('lift engineers says books are composed of sentences', 'Some lift engineers says books consists of sentences.', False)
('lightermans says books are composed of sentences', 'Some lightermans says books consists of sentences.', False)
('lighthouse keepers says books are composed of sentences', 'Some lighthouse keepers says books consists of sentences.', False)
('lighting designers says books are composed of sentences', 'Some lighting designers says books consists of sentences.', False)
('lighting technicians says books are composed of sentences', 'Some lighting technicians says books consists of sentences.', False)
('lime kiln attendants says books are composed of sentences', 'Some lime kiln attendants says books consists of sentences.', False)
('line managers says books are composed of sentences', 'Some line managers says books consists of sentences.', False)
('line workers says books are composed of sentences', 'Some line workers says books consists of sentences.', False)
('linemans says books are composed of sentences', 'Some linemans says books consists of sentences.', False)
('linguists says books are composed of sentences', 'Some linguists says books consists of sentences.', False)
('literary agents says books are composed of sentences', 'Some literary agents says books consists of sentences.', False)
('literary editors says books are composed of sentences', 'Some literary editors says books consists of sentences.', False)
('lithographers says books are composed of sentences', 'Some lithographers says books consists of sentences.', False)
('litigation managers says books are composed of sentences', 'Some litigation managers says books consists of sentences.', False)
('loans managers says books are composed of sentences', 'Some loans managers says books consists of sentences.', False)
('local governments says books are composed of sentences', 'Some local governments says books consists of sentences.', False)
('lock keepers says books are composed of sentences', 'Some lock keepers says books consists of sentences.', False)
('locksmiths says books are composed of sentences', 'Some locksmiths says books consists of sentences.', False)
('locum pharmacists says books are composed of sentences', 'Some locum pharmacists says books consists of sentences.', False)
('log merchants says books are composed of sentences', 'Some log merchants says books consists of sentences.', False)
('lorry drivers says books are composed of sentences', 'Some lorry drivers says books consists of sentences.', False)
('loss adjustors says books are composed of sentences', 'Some loss adjustors says books consists of sentences.', False)
('loss assessors says books are composed of sentences', 'Some loss assessors says books consists of sentences.', False)
('lumberjacks says books are composed of sentences', 'Some lumberjacks says books consists of sentences.', False)
('machine fitterss says books are composed of sentences', 'Some machine fitterss says books consists of sentences.', False)
('machine minders says books are composed of sentences', 'Some machine minders says books consists of sentences.', False)
('machine operators says books are composed of sentences', 'Some machine operators says books consists of sentences.', False)
('machine setters says books are composed of sentences', 'Some machine setters says books consists of sentences.', False)
('machine tools says books are composed of sentences', 'Some machine tools says books consists of sentences.', False)
('machine tool fitters says books are composed of sentences', 'Some machine tool fitters says books consists of sentences.', False)
('machinists says books are composed of sentences', 'Some machinists says books consists of sentences.', False)
('magicians says books are composed of sentences', 'Some magicians says books consists of sentences.', False)
('magistrates says books are composed of sentences', 'Some magistrates says books consists of sentences.', False)
('magistrates clerks says books are composed of sentences', 'Some magistrates clerks says books consists of sentences.', False)
('maids says books are composed of sentences', 'Some maids says books consists of sentences.', False)
('maintenance fitters says books are composed of sentences', 'Some maintenance fitters says books consists of sentences.', False)
('make up artists says books are composed of sentences', 'Some make up artists says books consists of sentences.', False)
('manicurists says books are composed of sentences', 'Some manicurists says books consists of sentences.', False)
('manufacturings says books are composed of sentences', 'Some manufacturings says books consists of sentences.', False)
('map mounters says books are composed of sentences', 'Some map mounters says books consists of sentences.', False)
('marble finishers says books are composed of sentences', 'Some marble finishers says books consists of sentences.', False)
('marble masons says books are composed of sentences', 'Some marble masons says books consists of sentences.', False)
('marine brokers says books are composed of sentences', 'Some marine brokers says books consists of sentences.', False)
('marine consultants says books are composed of sentences', 'Some marine consultants says books consists of sentences.', False)
('marine electricians says books are composed of sentences', 'Some marine electricians says books consists of sentences.', False)
('marine engineers says books are composed of sentences', 'Some marine engineers says books consists of sentences.', False)
('marine geologists says books are composed of sentences', 'Some marine geologists says books consists of sentences.', False)
('marine pilots says books are composed of sentences', 'Some marine pilots says books consists of sentences.', False)
('marine surveyors says books are composed of sentences', 'Some marine surveyors says books consists of sentences.', False)
('market gardeners says books are composed of sentences', 'Some market gardeners says books consists of sentences.', False)
('market researchs says books are composed of sentences', 'Some market researchs says books consists of sentences.', False)
('market researchers says books are composed of sentences', 'Some market researchers says books consists of sentences.', False)
('market traders says books are composed of sentences', 'Some market traders says books consists of sentences.', False)
('marketing agents says books are composed of sentences', 'Some marketing agents says books consists of sentences.', False)
('marketing assistants says books are composed of sentences', 'Some marketing assistants says books consists of sentences.', False)
('marketing coordinators says books are composed of sentences', 'Some marketing coordinators says books consists of sentences.', False)
('marketing directors says books are composed of sentences', 'Some marketing directors says books consists of sentences.', False)
('marketing managers says books are composed of sentences', 'Some marketing managers says books consists of sentences.', False)
('marquee erectors says books are composed of sentences', 'Some marquee erectors says books consists of sentences.', False)
('massage therapists says books are composed of sentences', 'Some massage therapists says books consists of sentences.', False)
('masseurs says books are composed of sentences', 'Some masseurs says books consists of sentences.', False)
('masseuses says books are composed of sentences', 'Some masseuses says books consists of sentences.', False)
('master mariners says books are composed of sentences', 'Some master mariners says books consists of sentences.', False)
('materials controllers says books are composed of sentences', 'Some materials controllers says books consists of sentences.', False)
('materials managers says books are composed of sentences', 'Some materials managers says books consists of sentences.', False)
('mathematicians says books are composed of sentences', 'Some mathematicians says books consists of sentences.', False)
('maths teachers says books are composed of sentences', 'Some maths teachers says books consists of sentences.', False)
('matrons says books are composed of sentences', 'Some matrons says books consists of sentences.', False)
('mattress makers says books are composed of sentences', 'Some mattress makers says books consists of sentences.', False)
('meat inspectors says books are composed of sentences', 'Some meat inspectors says books consists of sentences.', False)
('meat wholesalers says books are composed of sentences', 'Some meat wholesalers says books consists of sentences.', False)
('mechanics says books are composed of sentences', 'Some mechanics says books consists of sentences.', False)
('medal dealers says books are composed of sentences', 'Some medal dealers says books consists of sentences.', False)
('medical advisors says books are composed of sentences', 'Some medical advisors says books consists of sentences.', False)
('medical assistants says books are composed of sentences', 'Some medical assistants says books consists of sentences.', False)
('medical consultants says books are composed of sentences', 'Some medical consultants says books consists of sentences.', False)
('medical officers says books are composed of sentences', 'Some medical officers says books consists of sentences.', False)
('medical physicists says books are composed of sentences', 'Some medical physicists says books consists of sentences.', False)
('medical practitioners says books are composed of sentences', 'Some medical practitioners says books consists of sentences.', False)
('medical researchers says books are composed of sentences', 'Some medical researchers says books consists of sentences.', False)
('medical secretarys says books are composed of sentences', 'Some medical secretarys says books consists of sentences.', False)
('medical students says books are composed of sentences', 'Some medical students says books consists of sentences.', False)
('medical suppliers says books are composed of sentences', 'Some medical suppliers says books consists of sentences.', False)
('medical technicians says books are composed of sentences', 'Some medical technicians says books consists of sentences.', False)
('merchandisers says books are composed of sentences', 'Some merchandisers says books consists of sentences.', False)
('merchants says books are composed of sentences', 'Some merchants says books consists of sentences.', False)
('merchant bankers says books are composed of sentences', 'Some merchant bankers says books consists of sentences.', False)
('merchant seamans says books are composed of sentences', 'Some merchant seamans says books consists of sentences.', False)
('messengers says books are composed of sentences', 'Some messengers says books consists of sentences.', False)
('metal dealers says books are composed of sentences', 'Some metal dealers says books consists of sentences.', False)
('metal engineers says books are composed of sentences', 'Some metal engineers says books consists of sentences.', False)
('metal polishers says books are composed of sentences', 'Some metal polishers says books consists of sentences.', False)
('metal workers says books are composed of sentences', 'Some metal workers says books consists of sentences.', False)
('metallurgists says books are composed of sentences', 'Some metallurgists says books consists of sentences.', False)
('meteorologists says books are composed of sentences', 'Some meteorologists says books consists of sentences.', False)
('meter readers says books are composed of sentences', 'Some meter readers says books consists of sentences.', False)
('microbiologists says books are composed of sentences', 'Some microbiologists says books consists of sentences.', False)
('midwifes says books are composed of sentences', 'Some midwifes says books consists of sentences.', False)
('military leaders says books are composed of sentences', 'Some military leaders says books consists of sentences.', False)
('milkladys says books are composed of sentences', 'Some milkladys says books consists of sentences.', False)
('milkmans says books are composed of sentences', 'Some milkmans says books consists of sentences.', False)
('mill operators says books are composed of sentences', 'Some mill operators says books consists of sentences.', False)
('mill workers says books are composed of sentences', 'Some mill workers says books consists of sentences.', False)
('millers says books are composed of sentences', 'Some millers says books consists of sentences.', False)
('milliners says books are composed of sentences', 'Some milliners says books consists of sentences.', False)
('millwrights says books are composed of sentences', 'Some millwrights says books consists of sentences.', False)
('miners says books are composed of sentences', 'Some miners says books consists of sentences.', False)
('mineralologists says books are composed of sentences', 'Some mineralologists says books consists of sentences.', False)
('minibus drivers says books are composed of sentences', 'Some minibus drivers says books consists of sentences.', False)
('minicab drivers says books are composed of sentences', 'Some minicab drivers says books consists of sentences.', False)
('mining consultants says books are composed of sentences', 'Some mining consultants says books consists of sentences.', False)
('mining engineers says books are composed of sentences', 'Some mining engineers says books consists of sentences.', False)
('money brokers says books are composed of sentences', 'Some money brokers says books consists of sentences.', False)
('moneylenders says books are composed of sentences', 'Some moneylenders says books consists of sentences.', False)
('mooring contractors says books are composed of sentences', 'Some mooring contractors says books consists of sentences.', False)
('mortgage brokers says books are composed of sentences', 'Some mortgage brokers says books consists of sentences.', False)
('morticians says books are composed of sentences', 'Some morticians says books consists of sentences.', False)
('motor dealers says books are composed of sentences', 'Some motor dealers says books consists of sentences.', False)
('motor engineers says books are composed of sentences', 'Some motor engineers says books consists of sentences.', False)
('motor fitters says books are composed of sentences', 'Some motor fitters says books consists of sentences.', False)
('motor mechanics says books are composed of sentences', 'Some motor mechanics says books consists of sentences.', False)
('motor racings says books are composed of sentences', 'Some motor racings says books consists of sentences.', False)
('motor traders says books are composed of sentences', 'Some motor traders says books consists of sentences.', False)
('museum assistants says books are composed of sentences', 'Some museum assistants says books consists of sentences.', False)
('museum attendants says books are composed of sentences', 'Some museum attendants says books consists of sentences.', False)
('music teachers says books are composed of sentences', 'Some music teachers says books consists of sentences.', False)
('musicians says books are composed of sentences', 'Some musicians says books consists of sentences.', False)
('nannys says books are composed of sentences', 'Some nannys says books consists of sentences.', False)
('navigators says books are composed of sentences', 'Some navigators says books consists of sentences.', False)
('negotiators says books are composed of sentences', 'Some negotiators says books consists of sentences.', False)
('neurologists says books are composed of sentences', 'Some neurologists says books consists of sentences.', False)
('newsagents says books are composed of sentences', 'Some newsagents says books consists of sentences.', False)
('night porters says books are composed of sentences', 'Some night porters says books consists of sentences.', False)
('night watchmans says books are composed of sentences', 'Some night watchmans says books consists of sentences.', False)
('nuclear scientists says books are composed of sentences', 'Some nuclear scientists says books consists of sentences.', False)
('nuns says books are composed of sentences', 'Some nuns says books consists of sentences.', False)
('nurses says books are composed of sentences', 'Some nurses says books consists of sentences.', False)
('nursery assistants says books are composed of sentences', 'Some nursery assistants says books consists of sentences.', False)
('nursery nurses says books are composed of sentences', 'Some nursery nurses says books consists of sentences.', False)
('nursery workers says books are composed of sentences', 'Some nursery workers says books consists of sentences.', False)
('nurserymans says books are composed of sentences', 'Some nurserymans says books consists of sentences.', False)
('nursing assistants says books are composed of sentences', 'Some nursing assistants says books consists of sentences.', False)
('nursing auxiliarys says books are composed of sentences', 'Some nursing auxiliarys says books consists of sentences.', False)
('nursing managers says books are composed of sentences', 'Some nursing managers says books consists of sentences.', False)
('nursing sisters says books are composed of sentences', 'Some nursing sisters says books consists of sentences.', False)
('nutritionists says books are composed of sentences', 'Some nutritionists says books consists of sentences.', False)
('off shores says books are composed of sentences', 'Some off shores says books consists of sentences.', False)
('office managers says books are composed of sentences', 'Some office managers says books consists of sentences.', False)
('office workers says books are composed of sentences', 'Some office workers says books consists of sentences.', False)
('oil brokers says books are composed of sentences', 'Some oil brokers says books consists of sentences.', False)
('oil rig crews says books are composed of sentences', 'Some oil rig crews says books consists of sentences.', False)
('opera singers says books are composed of sentences', 'Some opera singers says books consists of sentences.', False)
('operationss says books are composed of sentences', 'Some operationss says books consists of sentences.', False)
('operatives says books are composed of sentences', 'Some operatives says books consists of sentences.', False)
('operators says books are composed of sentences', 'Some operators says books consists of sentences.', False)
('opticals says books are composed of sentences', 'Some opticals says books consists of sentences.', False)
('optical advisors says books are composed of sentences', 'Some optical advisors says books consists of sentences.', False)
('optical assistants says books are composed of sentences', 'Some optical assistants says books consists of sentences.', False)
('opticians says books are composed of sentences', 'Some opticians says books consists of sentences.', False)
('optometrists says books are composed of sentences', 'Some optometrists says books consists of sentences.', False)
('orchestrals says books are composed of sentences', 'Some orchestrals says books consists of sentences.', False)
('organisers says books are composed of sentences', 'Some organisers says books consists of sentences.', False)
('organists says books are composed of sentences', 'Some organists says books consists of sentences.', False)
('ornamentals says books are composed of sentences', 'Some ornamentals says books consists of sentences.', False)
('ornithologists says books are composed of sentences', 'Some ornithologists says books consists of sentences.', False)
('orthopaedics says books are composed of sentences', 'Some orthopaedics says books consists of sentences.', False)
('orthoptists says books are composed of sentences', 'Some orthoptists says books consists of sentences.', False)
('osteopaths says books are composed of sentences', 'Some osteopaths says books consists of sentences.', False)
('outdoor pursuitss says books are composed of sentences', 'Some outdoor pursuitss says books consists of sentences.', False)
('outreach workers says books are composed of sentences', 'Some outreach workers says books consists of sentences.', False)
('packagings says books are composed of sentences', 'Some packagings says books consists of sentences.', False)
('packers says books are composed of sentences', 'Some packers says books consists of sentences.', False)
('paediatricians says books are composed of sentences', 'Some paediatricians says books consists of sentences.', False)
('paint consultants says books are composed of sentences', 'Some paint consultants says books consists of sentences.', False)
('painters says books are composed of sentences', 'Some painters says books consists of sentences.', False)
('palaeobotanists says books are composed of sentences', 'Some palaeobotanists says books consists of sentences.', False)
('palaeontologists says books are composed of sentences', 'Some palaeontologists says books consists of sentences.', False)
('pallet makers says books are composed of sentences', 'Some pallet makers says books consists of sentences.', False)
('panel beaters says books are composed of sentences', 'Some panel beaters says books consists of sentences.', False)
('paramedics says books are composed of sentences', 'Some paramedics says books consists of sentences.', False)
('park attendants says books are composed of sentences', 'Some park attendants says books consists of sentences.', False)
('park keepers says books are composed of sentences', 'Some park keepers says books consists of sentences.', False)
('park rangers says books are composed of sentences', 'Some park rangers says books consists of sentences.', False)
('partition erectors says books are composed of sentences', 'Some partition erectors says books consists of sentences.', False)
('parts mans says books are composed of sentences', 'Some parts mans says books consists of sentences.', False)
('parts managers says books are composed of sentences', 'Some parts managers says books consists of sentences.', False)
('parts supervisors says books are composed of sentences', 'Some parts supervisors says books consists of sentences.', False)
('party planners says books are composed of sentences', 'Some party planners says books consists of sentences.', False)
('pasteurisers says books are composed of sentences', 'Some pasteurisers says books consists of sentences.', False)
('pastry chefs says books are composed of sentences', 'Some pastry chefs says books consists of sentences.', False)
('patent agents says books are composed of sentences', 'Some patent agents says books consists of sentences.', False)
('patent attorneys says books are composed of sentences', 'Some patent attorneys says books consists of sentences.', False)
('pathologists says books are composed of sentences', 'Some pathologists says books consists of sentences.', False)
('patrolmans says books are composed of sentences', 'Some patrolmans says books consists of sentences.', False)
('pattern cutters says books are composed of sentences', 'Some pattern cutters says books consists of sentences.', False)
('pattern makers says books are composed of sentences', 'Some pattern makers says books consists of sentences.', False)
('pattern weavers says books are composed of sentences', 'Some pattern weavers says books consists of sentences.', False)
('pawnbrokers says books are composed of sentences', 'Some pawnbrokers says books consists of sentences.', False)
('payroll assistants says books are composed of sentences', 'Some payroll assistants says books consists of sentences.', False)
('payroll clerks says books are composed of sentences', 'Some payroll clerks says books consists of sentences.', False)
('payroll managers says books are composed of sentences', 'Some payroll managers says books consists of sentences.', False)
('payroll supervisors says books are composed of sentences', 'Some payroll supervisors says books consists of sentences.', False)
('personnel officers says books are composed of sentences', 'Some personnel officers says books consists of sentences.', False)
('pest controllers says books are composed of sentences', 'Some pest controllers says books consists of sentences.', False)
('pet minders says books are composed of sentences', 'Some pet minders says books consists of sentences.', False)
('pharmacists says books are composed of sentences', 'Some pharmacists says books consists of sentences.', False)
('philatelists says books are composed of sentences', 'Some philatelists says books consists of sentences.', False)
('photographers says books are composed of sentences', 'Some photographers says books consists of sentences.', False)
('physicians says books are composed of sentences', 'Some physicians says books consists of sentences.', False)
('physicists says books are composed of sentences', 'Some physicists says books consists of sentences.', False)
('physiologists says books are composed of sentences', 'Some physiologists says books consists of sentences.', False)
('physiotherapists says books are composed of sentences', 'Some physiotherapists says books consists of sentences.', False)
('piano teachers says books are composed of sentences', 'Some piano teachers says books consists of sentences.', False)
('piano tuners says books are composed of sentences', 'Some piano tuners says books consists of sentences.', False)
('picture editors says books are composed of sentences', 'Some picture editors says books consists of sentences.', False)
('picture framers says books are composed of sentences', 'Some picture framers says books consists of sentences.', False)
('picture reseachers says books are composed of sentences', 'Some picture reseachers says books consists of sentences.', False)
('pig mans says books are composed of sentences', 'Some pig mans says books consists of sentences.', False)
('pig managers says books are composed of sentences', 'Some pig managers says books consists of sentences.', False)
('pilots says books are composed of sentences', 'Some pilots says books consists of sentences.', False)
('pipe fitters says books are composed of sentences', 'Some pipe fitters says books consists of sentences.', False)
('pipe inspectors says books are composed of sentences', 'Some pipe inspectors says books consists of sentences.', False)
('pipe insulators says books are composed of sentences', 'Some pipe insulators says books consists of sentences.', False)
('pipe layers says books are composed of sentences', 'Some pipe layers says books consists of sentences.', False)
('planning engineers says books are composed of sentences', 'Some planning engineers says books consists of sentences.', False)
('planning managers says books are composed of sentences', 'Some planning managers says books consists of sentences.', False)
('planning officers says books are composed of sentences', 'Some planning officers says books consists of sentences.', False)
('planning technicians says books are composed of sentences', 'Some planning technicians says books consists of sentences.', False)
('plant attendants says books are composed of sentences', 'Some plant attendants says books consists of sentences.', False)
('plant drivers says books are composed of sentences', 'Some plant drivers says books consists of sentences.', False)
('plant engineers says books are composed of sentences', 'Some plant engineers says books consists of sentences.', False)
('plant fitters says books are composed of sentences', 'Some plant fitters says books consists of sentences.', False)
('plant managers says books are composed of sentences', 'Some plant managers says books consists of sentences.', False)
('plant operators says books are composed of sentences', 'Some plant operators says books consists of sentences.', False)
('plasterers says books are composed of sentences', 'Some plasterers says books consists of sentences.', False)
('plastics consultants says books are composed of sentences', 'Some plastics consultants says books consists of sentences.', False)
('plastics engineers says books are composed of sentences', 'Some plastics engineers says books consists of sentences.', False)
('plate layers says books are composed of sentences', 'Some plate layers says books consists of sentences.', False)
('platers says books are composed of sentences', 'Some platers says books consists of sentences.', False)
('playgroup assistants says books are composed of sentences', 'Some playgroup assistants says books consists of sentences.', False)
('playgroup leaders says books are composed of sentences', 'Some playgroup leaders says books consists of sentences.', False)
('plumbers says books are composed of sentences', 'Some plumbers says books consists of sentences.', False)
('podiatrists says books are composed of sentences', 'Some podiatrists says books consists of sentences.', False)
('police officers says books are composed of sentences', 'Some police officers says books consists of sentences.', False)
('polishers says books are composed of sentences', 'Some polishers says books consists of sentences.', False)
('pool attendants says books are composed of sentences', 'Some pool attendants says books consists of sentences.', False)
('pools collectors says books are composed of sentences', 'Some pools collectors says books consists of sentences.', False)
('porters says books are composed of sentences', 'Some porters says books consists of sentences.', False)
('portfolio managers says books are composed of sentences', 'Some portfolio managers says books consists of sentences.', False)
('post sorters says books are composed of sentences', 'Some post sorters says books consists of sentences.', False)
('postmans says books are composed of sentences', 'Some postmans says books consists of sentences.', False)
('postmasters says books are composed of sentences', 'Some postmasters says books consists of sentences.', False)
('postwomans says books are composed of sentences', 'Some postwomans says books consists of sentences.', False)
('potters says books are composed of sentences', 'Some potters says books consists of sentences.', False)
('practice managers says books are composed of sentences', 'Some practice managers says books consists of sentences.', False)
('preachers says books are composed of sentences', 'Some preachers says books consists of sentences.', False)
('precision engineers says books are composed of sentences', 'Some precision engineers says books consists of sentences.', False)
('premisess says books are composed of sentences', 'Some premisess says books consists of sentences.', False)
('premises securitys says books are composed of sentences', 'Some premises securitys says books consists of sentences.', False)
('press officers says books are composed of sentences', 'Some press officers says books consists of sentences.', False)
('press operators says books are composed of sentences', 'Some press operators says books consists of sentences.', False)
('press setters says books are composed of sentences', 'Some press setters says books consists of sentences.', False)
('pressers says books are composed of sentences', 'Some pressers says books consists of sentences.', False)
('priests says books are composed of sentences', 'Some priests says books consists of sentences.', False)
('print finishers says books are composed of sentences', 'Some print finishers says books consists of sentences.', False)
('printers says books are composed of sentences', 'Some printers says books consists of sentences.', False)
('prison chaplains says books are composed of sentences', 'Some prison chaplains says books consists of sentences.', False)
('prison officers says books are composed of sentences', 'Some prison officers says books consists of sentences.', False)
('private investigators says books are composed of sentences', 'Some private investigators says books consists of sentences.', False)
('probation officers says books are composed of sentences', 'Some probation officers says books consists of sentences.', False)
('probation workers says books are composed of sentences', 'Some probation workers says books consists of sentences.', False)
('procurator fiscals says books are composed of sentences', 'Some procurator fiscals says books consists of sentences.', False)
('produce supervisors says books are composed of sentences', 'Some produce supervisors says books consists of sentences.', False)
('producers says books are composed of sentences', 'Some producers says books consists of sentences.', False)
('product installers says books are composed of sentences', 'Some product installers says books consists of sentences.', False)
('product managers says books are composed of sentences', 'Some product managers says books consists of sentences.', False)
('production engineers says books are composed of sentences', 'Some production engineers says books consists of sentences.', False)
('production hands says books are composed of sentences', 'Some production hands says books consists of sentences.', False)
('production managers says books are composed of sentences', 'Some production managers says books consists of sentences.', False)
('production planners says books are composed of sentences', 'Some production planners says books consists of sentences.', False)
('professional boxers says books are composed of sentences', 'Some professional boxers says books consists of sentences.', False)
('professional racings says books are composed of sentences', 'Some professional racings says books consists of sentences.', False)
('professional wrestlers says books are composed of sentences', 'Some professional wrestlers says books consists of sentences.', False)
('progress chasers says books are composed of sentences', 'Some progress chasers says books consists of sentences.', False)
('progress clerks says books are composed of sentences', 'Some progress clerks says books consists of sentences.', False)
('project co-ordinators says books are composed of sentences', 'Some project co-ordinators says books consists of sentences.', False)
('project engineers says books are composed of sentences', 'Some project engineers says books consists of sentences.', False)
('project leaders says books are composed of sentences', 'Some project leaders says books consists of sentences.', False)
('project managers says books are composed of sentences', 'Some project managers says books consists of sentences.', False)
('project workers says books are composed of sentences', 'Some project workers says books consists of sentences.', False)
('projectionists says books are composed of sentences', 'Some projectionists says books consists of sentences.', False)
('promoters says books are composed of sentences', 'Some promoters says books consists of sentences.', False)
('proof readers says books are composed of sentences', 'Some proof readers says books consists of sentences.', False)
('property buyers says books are composed of sentences', 'Some property buyers says books consists of sentences.', False)
('property dealers says books are composed of sentences', 'Some property dealers says books consists of sentences.', False)
('property developers says books are composed of sentences', 'Some property developers says books consists of sentences.', False)
('property managers says books are composed of sentences', 'Some property managers says books consists of sentences.', False)
('property valuers says books are composed of sentences', 'Some property valuers says books consists of sentences.', False)
('proprietors says books are composed of sentences', 'Some proprietors says books consists of sentences.', False)
('psychiatrists says books are composed of sentences', 'Some psychiatrists says books consists of sentences.', False)
('psychoanalysts says books are composed of sentences', 'Some psychoanalysts says books consists of sentences.', False)
('psychologists says books are composed of sentences', 'Some psychologists says books consists of sentences.', False)
('psychotherapists says books are composed of sentences', 'Some psychotherapists says books consists of sentences.', False)
('public house managers says books are composed of sentences', 'Some public house managers says books consists of sentences.', False)
('public relations of?cers says books are composed of sentences', 'Some public relations of?cers says books consists of sentences.', False)
('publicans says books are composed of sentences', 'Some publicans says books consists of sentences.', False)
('publicity managers says books are composed of sentences', 'Some publicity managers says books consists of sentences.', False)
('publishers says books are composed of sentences', 'Some publishers says books consists of sentences.', False)
('publishing managers says books are composed of sentences', 'Some publishing managers says books consists of sentences.', False)
('purchase clerks says books are composed of sentences', 'Some purchase clerks says books consists of sentences.', False)
('purchase ledger clerks says books are composed of sentences', 'Some purchase ledger clerks says books consists of sentences.', False)
('purchasing assistants says books are composed of sentences', 'Some purchasing assistants says books consists of sentences.', False)
('purchasing managers says books are composed of sentences', 'Some purchasing managers says books consists of sentences.', False)
('pursers says books are composed of sentences', 'Some pursers says books consists of sentences.', False)
('quality controllers says books are composed of sentences', 'Some quality controllers says books consists of sentences.', False)
('quality engineers says books are composed of sentences', 'Some quality engineers says books consists of sentences.', False)
('quality inspectors says books are composed of sentences', 'Some quality inspectors says books consists of sentences.', False)
('quality managers says books are composed of sentences', 'Some quality managers says books consists of sentences.', False)
('quality technicians says books are composed of sentences', 'Some quality technicians says books consists of sentences.', False)
('quantity surveyors says books are composed of sentences', 'Some quantity surveyors says books consists of sentences.', False)
('quarry workers says books are composed of sentences', 'Some quarry workers says books consists of sentences.', False)
('racehorse grooms says books are composed of sentences', 'Some racehorse grooms says books consists of sentences.', False)
('racing organisers says books are composed of sentences', 'Some racing organisers says books consists of sentences.', False)
('radio controllers says books are composed of sentences', 'Some radio controllers says books consists of sentences.', False)
('radio directors says books are composed of sentences', 'Some radio directors says books consists of sentences.', False)
('radio engineers says books are composed of sentences', 'Some radio engineers says books consists of sentences.', False)
('radio operators says books are composed of sentences', 'Some radio operators says books consists of sentences.', False)
('radio presenters says books are composed of sentences', 'Some radio presenters says books consists of sentences.', False)
('radio producers says books are composed of sentences', 'Some radio producers says books consists of sentences.', False)
('radiographers says books are composed of sentences', 'Some radiographers says books consists of sentences.', False)
('radiologists says books are composed of sentences', 'Some radiologists says books consists of sentences.', False)
('rally drivers says books are composed of sentences', 'Some rally drivers says books consists of sentences.', False)
('receptionists says books are composed of sentences', 'Some receptionists says books consists of sentences.', False)
