('The turtle is in the universe.', 'The turtle is in the milky way galaxy.', False)
('The racing organiser is reading in illinois.', 'The racing organiser is in chicago.', False)
('The riding instructor is dancing in the universe.', 'The riding instructor is in indiana.', False)
('The marine geologist is singing in the milky way galaxy.', 'The marine geologist is in indiana.', False)
('The sheriff principal is drinking in our solar system.', 'The sheriff principal is in indiana.', False)
('The sign maker is working on earth.', 'The sign maker is in indiana.', False)
('The technical author is working in north america.', 'The technical author is in indiana.', False)
('The signalman is watching movies in the united states of america.', 'The signalman is in indiana.', False)
('The hearing therapist is hanging out in the universe.', 'The hearing therapist is in indianapolis.', False)
('The lineman is dancing in the milky way galaxy.', 'The lineman is in indianapolis.', False)
('The property manager is living in our solar system.', 'The property manager is in indianapolis.', False)
('The voluntary worker is reading on earth.', 'The voluntary worker is in indianapolis.', False)
('The youth hostel warden is running in north america.', 'The youth hostel warden is in indianapolis.', False)
('The planning technician is writing in the united states of america.', 'The planning technician is in indianapolis.', False)
('The shooting instructor is walking in indiana.', 'The shooting instructor is in indianapolis.', False)
('The insurance broker is walking in the universe.', 'The insurance broker is in lafayette.', False)
('The road sweeper is drawing in the milky way galaxy.', 'The road sweeper is in lafayette.', False)
('The town clerk is drawing in our solar system.', 'The town clerk is in lafayette.', False)
('The polisher is watching movies on earth.', 'The polisher is in lafayette.', False)
('The beauty therapist is eating in north america.', 'The beauty therapist is in lafayette.', False)
('The works manager is eating in the united states of america.', 'The works manager is in lafayette.', False)
('The shipping clerk is painting in indiana.', 'The shipping clerk is in lafayette.', False)
('The weighbridge clerk is eating in the universe.', 'The weighbridge clerk is in purdue university.', False)
('The playgroup leader is drawing in the milky way galaxy.', 'The playgroup leader is in purdue university.', False)
('The antique dealer is working in our solar system.', 'The antique dealer is in purdue university.', False)
('The nurseryman is painting on earth.', 'The nurseryman is in purdue university.', False)
('The meter reader is hanging out in north america.', 'The meter reader is in purdue university.', False)
('The publican is drinking in the united states of america.', 'The publican is in purdue university.', False)
('The loss assessor is eating in indiana.', 'The loss assessor is in purdue university.', False)
('The physiotherapist is dancing in the universe.', 'The physiotherapist is in iowa.', False)
('The arborist is sculpting in the milky way galaxy.', 'The arborist is in iowa.', False)
('The chiropractor is living in our solar system.', 'The chiropractor is in iowa.', False)
('The childminder is drawing on earth.', 'The childminder is in iowa.', False)
('The trading standards is writing in north america.', 'The trading standards is in iowa.', False)
('The claims manager is dancing in the united states of america.', 'The claims manager is in iowa.', False)
('The tiler is writing in the universe.', 'The tiler is in kansas.', False)
('The flower arranger is hanging out in the milky way galaxy.', 'The flower arranger is in kansas.', False)
('The promoter is painting in our solar system.', 'The promoter is in kansas.', False)
('The professional boxer is painting on earth.', 'The professional boxer is in kansas.', False)
('The motor mechanic is walking in north america.', 'The motor mechanic is in kansas.', False)
('The forester is hanging out in the united states of america.', 'The forester is in kansas.', False)
('The training officer is sculpting in the universe.', 'The training officer is in kentucky.', False)
('The smallholder is running in the milky way galaxy.', 'The smallholder is in kentucky.', False)
('The haulage contractor is sculpting in our solar system.', 'The haulage contractor is in kentucky.', False)
('The statistician is eating on earth.', 'The statistician is in kentucky.', False)
('The traffic warden is running in north america.', 'The traffic warden is in kentucky.', False)
('The radiologist is sculpting in the united states of america.', 'The radiologist is in kentucky.', False)
('The botanist is dancing in the universe.', 'The botanist is in louisiana.', False)
('The broadcaster is sculpting in the milky way galaxy.', 'The broadcaster is in louisiana.', False)
('The ventriloquist is running in our solar system.', 'The ventriloquist is in louisiana.', False)
('The assistant is sculpting on earth.', 'The assistant is in louisiana.', False)
('The hosiery mechanic is hanging out in north america.', 'The hosiery mechanic is in louisiana.', False)
('The law clerk is working in the united states of america.', 'The law clerk is in louisiana.', False)
('The hotel consultant is living in the universe.', 'The hotel consultant is in maine.', False)
('The machine tool is dancing in the milky way galaxy.', 'The machine tool is in maine.', False)
('The repairer is walking in our solar system.', 'The repairer is in maine.', False)
('The telemarketeer is sculpting on earth.', 'The telemarketeer is in maine.', False)
('The independent means is dancing in north america.', 'The independent means is in maine.', False)
('The medical assistant is working in the united states of america.', 'The medical assistant is in maine.', False)
('The health visitor is drawing in the universe.', 'The health visitor is in maryland.', False)
('The medal dealer is hanging out in the milky way galaxy.', 'The medal dealer is in maryland.', False)
('The property valuer is singing in our solar system.', 'The property valuer is in maryland.', False)
('The sheriff principal is dancing on earth.', 'The sheriff principal is in maryland.', False)
('The shipping clerk is walking in north america.', 'The shipping clerk is in maryland.', False)
('The mill worker is hanging out in the united states of america.', 'The mill worker is in maryland.', False)
('The plastics engineer is dancing in the universe.', 'The plastics engineer is in massachusetts.', False)
('The patrolman is writing in the milky way galaxy.', 'The patrolman is in massachusetts.', False)
('The thatcher is writing in our solar system.', 'The thatcher is in massachusetts.', False)
('The loans manager is eating on earth.', 'The loans manager is in massachusetts.', False)
('The gynaecologist is working in north america.', 'The gynaecologist is in massachusetts.', False)
('The quality manager is hanging out in the united states of america.', 'The quality manager is in massachusetts.', False)
('The roofer is walking in the universe.', 'The roofer is in michigan.', False)
('The medical supplier is dancing in the milky way galaxy.', 'The medical supplier is in michigan.', False)
('The administrator is writing in our solar system.', 'The administrator is in michigan.', False)
('The motor trader is drawing on earth.', 'The motor trader is in michigan.', False)
('The laundry staff is writing in north america.', 'The laundry staff is in michigan.', False)
('The shop assistant is drinking in the united states of america.', 'The shop assistant is in michigan.', False)
('The wood worker is living in the universe.', 'The wood worker is in minnesota.', False)
('The toy trader is running in the milky way galaxy.', 'The toy trader is in minnesota.', False)
('The housing supervisor is hanging out in our solar system.', 'The housing supervisor is in minnesota.', False)
('The cinema manager is painting on earth.', 'The cinema manager is in minnesota.', False)
('The pipe insulator is reading in north america.', 'The pipe insulator is in minnesota.', False)
('The nursery assistant is hanging out in the united states of america.', 'The nursery assistant is in minnesota.', False)
('The instrument supervisor is running in the universe.', 'The instrument supervisor is in mississippi.', False)
('The interviewer is running in the milky way galaxy.', 'The interviewer is in mississippi.', False)
('The transport clerk is writing in our solar system.', 'The transport clerk is in mississippi.', False)
('The research scientist is walking on earth.', 'The research scientist is in mississippi.', False)
('The builders labourer is writing in north america.', 'The builders labourer is in mississippi.', False)
('The importer is dancing in the united states of america.', 'The importer is in mississippi.', False)
('The cleaner is living in the universe.', 'The cleaner is in missouri.', False)
('The wood cutter is painting in the milky way galaxy.', 'The wood cutter is in missouri.', False)
('The executive is working in our solar system.', 'The executive is in missouri.', False)
('The instrument technician is running on earth.', 'The instrument technician is in missouri.', False)
('The medical physicist is dancing in north america.', 'The medical physicist is in missouri.', False)
('The operations is painting in the united states of america.', 'The operations is in missouri.', False)
('The forwarding agent is walking in the universe.', 'The forwarding agent is in montana.', False)
('The forensic scientist is working in the milky way galaxy.', 'The forensic scientist is in montana.', False)
('The caulker is walking in our solar system.', 'The caulker is in montana.', False)
('The advertising contractor is hanging out on earth.', 'The advertising contractor is in montana.', False)
('The mining consultant is writing in north america.', 'The mining consultant is in montana.', False)
('The research consultant is working in the united states of america.', 'The research consultant is in montana.', False)
('The rector is dancing in the universe.', 'The rector is in nebraska.', False)
('The breeder is hanging out in the milky way galaxy.', 'The breeder is in nebraska.', False)
('The progress chaser is dancing in our solar system.', 'The progress chaser is in nebraska.', False)
('The press setter is hanging out on earth.', 'The press setter is in nebraska.', False)
('The chartered is reading in north america.', 'The chartered is in nebraska.', False)
('The sail maker is drawing in the united states of america.', 'The sail maker is in nebraska.', False)
('The milliner is watching movies in the universe.', 'The milliner is in nevada.', False)
('The instrument maker is dancing in the milky way galaxy.', 'The instrument maker is in nevada.', False)
('The taxidermist is drinking in our solar system.', 'The taxidermist is in nevada.', False)
('The researcher is sculpting on earth.', 'The researcher is in nevada.', False)
('The shop keeper is writing in north america.', 'The shop keeper is in nevada.', False)
('The optical is writing in the united states of america.', 'The optical is in nevada.', False)
('The violin maker is walking in the universe.', 'The violin maker is in new hampshire.', False)
('The pipe insulator is drawing in the milky way galaxy.', 'The pipe insulator is in new hampshire.', False)
('The planning manager is drawing in our solar system.', 'The planning manager is in new hampshire.', False)
('The records supervisor is reading on earth.', 'The records supervisor is in new hampshire.', False)
('The script writer is singing in north america.', 'The script writer is in new hampshire.', False)
('The marketing manager is running in the united states of america.', 'The marketing manager is in new hampshire.', False)
('The footballer is walking in the universe.', 'The footballer is in new jersey.', False)
('The motor fitter is eating in the milky way galaxy.', 'The motor fitter is in new jersey.', False)
('The laminator is singing in our solar system.', 'The laminator is in new jersey.', False)
('The typesetter is reading on earth.', 'The typesetter is in new jersey.', False)
('The travel guide writer is dancing in north america.', 'The travel guide writer is in new jersey.', False)
('The promoter is writing in the united states of america.', 'The promoter is in new jersey.', False)
('The therapist is walking in the universe.', 'The therapist is in new mexico.', False)
('The marketing director is reading in the milky way galaxy.', 'The marketing director is in new mexico.', False)
('The rig worker is walking in our solar system.', 'The rig worker is in new mexico.', False)
('The records supervisor is drinking on earth.', 'The records supervisor is in new mexico.', False)
('The import consultant is writing in north america.', 'The import consultant is in new mexico.', False)
('The boat builder is walking in the united states of america.', 'The boat builder is in new mexico.', False)
('The supply teacher is eating in the universe.', 'The supply teacher is in new york.', False)
('The circus proprietor is singing in the milky way galaxy.', 'The circus proprietor is in new york.', False)
('The library manager is walking in our solar system.', 'The library manager is in new york.', False)
('The bakery manager is drinking on earth.', 'The bakery manager is in new york.', False)
('The messenger is singing in north america.', 'The messenger is in new york.', False)
('The polisher is working in the united states of america.', 'The polisher is in new york.', False)
('The teacher is running in the universe.', 'The teacher is in new york city.', False)
('The nanny is reading in the milky way galaxy.', 'The nanny is in new york city.', False)
('The maintenance fitter is hanging out in our solar system.', 'The maintenance fitter is in new york city.', False)
('The welfare assistant is painting on earth.', 'The welfare assistant is in new york city.', False)
('The medical physicist is writing in north america.', 'The medical physicist is in new york city.', False)
('The flour miller is writing in the united states of america.', 'The flour miller is in new york city.', False)
('The technical engineer is writing in new york.', 'The technical engineer is in new york city.', False)
('The proprietor is painting in the universe.', 'The proprietor is in the bronx.', False)
('The tanner is singing in the milky way galaxy.', 'The tanner is in the bronx.', False)
('The audiologist is singing in our solar system.', 'The audiologist is in the bronx.', False)
('The telephonist is sculpting on earth.', 'The telephonist is in the bronx.', False)
('The purchasing assistant is sculpting in north america.', 'The purchasing assistant is in the bronx.', False)
('The student teacher is eating in the united states of america.', 'The student teacher is in the bronx.', False)
('The instrument engineer is singing in new york.', 'The instrument engineer is in the bronx.', False)
('The special constable is walking in new york city.', 'The special constable is in the bronx.', False)
('The pig man is drinking in the universe.', 'The pig man is in manhattan.', False)
('The turf accountant is dancing in the milky way galaxy.', 'The turf accountant is in manhattan.', False)
('The gaming club proprietor is walking in our solar system.', 'The gaming club proprietor is in manhattan.', False)
('The investment advisor is drinking on earth.', 'The investment advisor is in manhattan.', False)
('The attendant is watching movies in north america.', 'The attendant is in manhattan.', False)
('The analyst is eating in the united states of america.', 'The analyst is in manhattan.', False)
('The playgroup assistant is drawing in new york.', 'The playgroup assistant is in manhattan.', False)
('The picture framer is sculpting in new york city.', 'The picture framer is in manhattan.', False)
('The payroll assistant is dancing in the universe.', 'The payroll assistant is in brooklyn.', False)
('The seamstress is dancing in the milky way galaxy.', 'The seamstress is in brooklyn.', False)
('The patent agent is dancing in our solar system.', 'The patent agent is in brooklyn.', False)
('The steeplejack is hanging out on earth.', 'The steeplejack is in brooklyn.', False)
('The yacht master is reading in north america.', 'The yacht master is in brooklyn.', False)
('The word processing operator is hanging out in the united states of america.', 'The word processing operator is in brooklyn.', False)
('The stonemason is working in new york.', 'The stonemason is in brooklyn.', False)
('The car valet is writing in new york city.', 'The car valet is in brooklyn.', False)
('The marine engineer is singing in the universe.', 'The marine engineer is in queens.', False)
('The historian is sculpting in the milky way galaxy.', 'The historian is in queens.', False)
('The lighting technician is drawing in our solar system.', 'The lighting technician is in queens.', False)
('The television engineer is running on earth.', 'The television engineer is in queens.', False)
('The translator is reading in north america.', 'The translator is in queens.', False)
('The transport engineer is living in the united states of america.', 'The transport engineer is in queens.', False)
('The stud hand is reading in new york.', 'The stud hand is in queens.', False)
('The cable jointer is singing in new york city.', 'The cable jointer is in queens.', False)
('The historian is running in the universe.', 'The historian is in staten island.', False)
('The recreational is eating in the milky way galaxy.', 'The recreational is in staten island.', False)
('The log merchant is watching movies in our solar system.', 'The log merchant is in staten island.', False)
('The mill worker is writing on earth.', 'The mill worker is in staten island.', False)
('The booking agent is painting in north america.', 'The booking agent is in staten island.', False)
('The english teacher is drawing in the united states of america.', 'The english teacher is in staten island.', False)
('The building advisor is singing in new york.', 'The building advisor is in staten island.', False)
('The mortician is eating in new york city.', 'The mortician is in staten island.', False)
('The wholesale newspaper is reading in the universe.', 'The wholesale newspaper is in north carolina.', False)
('The plate layer is eating in the milky way galaxy.', 'The plate layer is in north carolina.', False)
('The joiner is working in our solar system.', 'The joiner is in north carolina.', False)
('The waiter is singing on earth.', 'The waiter is in north carolina.', False)
('The medical secretary is reading in north america.', 'The medical secretary is in north carolina.', False)
('The archivist is walking in the united states of america.', 'The archivist is in north carolina.', False)
('The repair man is walking in the universe.', 'The repair man is in north dakota.', False)
('The shop proprietor is watching movies in the milky way galaxy.', 'The shop proprietor is in north dakota.', False)
('The word processing operator is singing in our solar system.', 'The word processing operator is in north dakota.', False)
('The marine surveyor is drawing on earth.', 'The marine surveyor is in north dakota.', False)
('The saleswoman is dancing in north america.', 'The saleswoman is in north dakota.', False)
('The optical is sculpting in the united states of america.', 'The optical is in north dakota.', False)
('The practice manager is writing in the universe.', 'The practice manager is in ohio.', False)
('The fork lift truck driver is working in the milky way galaxy.', 'The fork lift truck driver is in ohio.', False)
('The marketing manager is eating in our solar system.', 'The marketing manager is in ohio.', False)
('The security officer is writing on earth.', 'The security officer is in ohio.', False)
('The taxi controller is writing in north america.', 'The taxi controller is in ohio.', False)
('The lighting designer is eating in the united states of america.', 'The lighting designer is in ohio.', False)
('The taxi driver is drawing in the universe.', 'The taxi driver is in oklahoma.', False)
('The housing supervisor is working in the milky way galaxy.', 'The housing supervisor is in oklahoma.', False)
('The aircraft maintenance engineer is watching movies in our solar system.', 'The aircraft maintenance engineer is in oklahoma.', False)
('The shelter warden is reading on earth.', 'The shelter warden is in oklahoma.', False)
('The spring maker is drawing in north america.', 'The spring maker is in oklahoma.', False)
('The advertising staff is living in the united states of america.', 'The advertising staff is in oklahoma.', False)
('The graphic designer is eating in the universe.', 'The graphic designer is in oregon.', False)
('The ornithologist is sculpting in the milky way galaxy.', 'The ornithologist is in oregon.', False)
('The teachers assistant is sculpting in our solar system.', 'The teachers assistant is in oregon.', False)
('The wine merchant is painting on earth.', 'The wine merchant is in oregon.', False)
('The road sweeper is singing in north america.', 'The road sweeper is in oregon.', False)
('The toy maker is eating in the united states of america.', 'The toy maker is in oregon.', False)
('The orchestral is running in the universe.', 'The orchestral is in pennsylvania.', False)
('The toy maker is working in the milky way galaxy.', 'The toy maker is in pennsylvania.', False)
('The pallet maker is running in our solar system.', 'The pallet maker is in pennsylvania.', False)
('The steel worker is watching movies on earth.', 'The steel worker is in pennsylvania.', False)
('The mattress maker is painting in north america.', 'The mattress maker is in pennsylvania.', False)
('The lighting technician is working in the united states of america.', 'The lighting technician is in pennsylvania.', False)
('The track worker is running in the universe.', 'The track worker is in puerto rico.', False)
('The toy maker is hanging out in the milky way galaxy.', 'The toy maker is in puerto rico.', False)
('The it manager is walking in our solar system.', 'The it manager is in puerto rico.', False)
('The doctor is eating on earth.', 'The doctor is in puerto rico.', False)
('The safety officer is singing in north america.', 'The safety officer is in puerto rico.', False)
('The clerk is dancing in the united states of america.', 'The clerk is in puerto rico.', False)
('The software engineer is eating in the universe.', 'The software engineer is in rhode island.', False)
('The garage foreman is reading in the milky way galaxy.', 'The garage foreman is in rhode island.', False)
('The minibus driver is working in our solar system.', 'The minibus driver is in rhode island.', False)
('The legal executive is painting on earth.', 'The legal executive is in rhode island.', False)
('The janitor is hanging out in north america.', 'The janitor is in rhode island.', False)
('The systems analyst is dancing in the united states of america.', 'The systems analyst is in rhode island.', False)
('The medical assistant is eating in the universe.', 'The medical assistant is in south carolina.', False)
('The editor is walking in the milky way galaxy.', 'The editor is in south carolina.', False)
('The trading standards is eating in our solar system.', 'The trading standards is in south carolina.', False)
('The blacksmith is writing on earth.', 'The blacksmith is in south carolina.', False)
('The administration manager is reading in north america.', 'The administration manager is in south carolina.', False)
('The governor is eating in the united states of america.', 'The governor is in south carolina.', False)
('The steeplejack is writing in the universe.', 'The steeplejack is in south dakota.', False)
('The highway inspector is working in the milky way galaxy.', 'The highway inspector is in south dakota.', False)
('The building advisor is reading in our solar system.', 'The building advisor is in south dakota.', False)
('The assembly worker is watching movies on earth.', 'The assembly worker is in south dakota.', False)
('The insurance inspector is living in north america.', 'The insurance inspector is in south dakota.', False)
('The vehicle technician is walking in the united states of america.', 'The vehicle technician is in south dakota.', False)
('The forensic scientist is walking in the universe.', 'The forensic scientist is in tennessee.', False)
('The glass worker is sculpting in the milky way galaxy.', 'The glass worker is in tennessee.', False)
('The show jumper is hanging out in our solar system.', 'The show jumper is in tennessee.', False)
('The ventriloquist is hanging out on earth.', 'The ventriloquist is in tennessee.', False)
('The historian is running in north america.', 'The historian is in tennessee.', False)
('The postwoman is watching movies in the united states of america.', 'The postwoman is in tennessee.', False)
('The medal dealer is painting in the universe.', 'The medal dealer is in texas.', False)
('The television producer is painting in the milky way galaxy.', 'The television producer is in texas.', False)
('The orthopaedic is drawing in our solar system.', 'The orthopaedic is in texas.', False)
('The bakery operator is writing on earth.', 'The bakery operator is in texas.', False)
('The horse breeder is working in north america.', 'The horse breeder is in texas.', False)
('The tennis coach is drawing in the united states of america.', 'The tennis coach is in texas.', False)
('The sub-postmistress is working in the universe.', 'The sub-postmistress is in the us virgin islands.', False)
('The english teacher is drinking in the milky way galaxy.', 'The english teacher is in the us virgin islands.', False)
('The shop manager is drinking in our solar system.', 'The shop manager is in the us virgin islands.', False)
('The microbiologist is dancing on earth.', 'The microbiologist is in the us virgin islands.', False)
('The farmer is living in north america.', 'The farmer is in the us virgin islands.', False)
('The interior designer is singing in the united states of america.', 'The interior designer is in the us virgin islands.', False)
('The chiropodist is walking in the universe.', 'The chiropodist is in utah.', False)
('The induction moulder is hanging out in the milky way galaxy.', 'The induction moulder is in utah.', False)
('The graphic designer is living in our solar system.', 'The graphic designer is in utah.', False)
('The lecturer is writing on earth.', 'The lecturer is in utah.', False)
('The metal dealer is painting in north america.', 'The metal dealer is in utah.', False)
('The advertising executive is eating in the united states of america.', 'The advertising executive is in utah.', False)
('The hod carrier is dancing in the universe.', 'The hod carrier is in vermont.', False)
('The bricklayer is hanging out in the milky way galaxy.', 'The bricklayer is in vermont.', False)
('The security controller is working in our solar system.', 'The security controller is in vermont.', False)
('The resin caster is living on earth.', 'The resin caster is in vermont.', False)
('The research consultant is drawing in north america.', 'The research consultant is in vermont.', False)
('The english teacher is eating in the united states of america.', 'The english teacher is in vermont.', False)
('The off shore is reading in the universe.', 'The off shore is in virginia.', False)
('The caterer is singing in the milky way galaxy.', 'The caterer is in virginia.', False)
('The ornamental is eating in our solar system.', 'The ornamental is in virginia.', False)
('The cable contractor is hanging out on earth.', 'The cable contractor is in virginia.', False)
('The tanner is singing in north america.', 'The tanner is in virginia.', False)
('The cafe owner is walking in the united states of america.', 'The cafe owner is in virginia.', False)
('The bus valeter is eating in the universe.', 'The bus valeter is in washington.', False)
('The quality technician is walking in the milky way galaxy.', 'The quality technician is in washington.', False)
('The travel consultant is watching movies in our solar system.', 'The travel consultant is in washington.', False)
('The health visitor is drinking on earth.', 'The health visitor is in washington.', False)
('The ledger clerk is living in north america.', 'The ledger clerk is in washington.', False)
('The television producer is watching movies in the united states of america.', 'The television producer is in washington.', False)
('The matron is reading in the universe.', 'The matron is in west virginia.', False)
('The boat builder is hanging out in the milky way galaxy.', 'The boat builder is in west virginia.', False)
('The wood worker is writing in our solar system.', 'The wood worker is in west virginia.', False)
('The roadworker is dancing on earth.', 'The roadworker is in west virginia.', False)
('The acoustic engineer is sculpting in north america.', 'The acoustic engineer is in west virginia.', False)
('The building engineer is hanging out in the united states of america.', 'The building engineer is in west virginia.', False)
('The lock keeper is eating in the universe.', 'The lock keeper is in wisconsin.', False)
('The golf caddy is walking in the milky way galaxy.', 'The golf caddy is in wisconsin.', False)
('The telesales person is drinking in our solar system.', 'The telesales person is in wisconsin.', False)
('The hosiery worker is drawing on earth.', 'The hosiery worker is in wisconsin.', False)
('The seamstress is drinking in north america.', 'The seamstress is in wisconsin.', False)
('The janitor is dancing in the united states of america.', 'The janitor is in wisconsin.', False)
('The patent attorney is dancing in the universe.', 'The patent attorney is in wyoming.', False)
('The bakery manager is drawing in the milky way galaxy.', 'The bakery manager is in wyoming.', False)
('The almoner is living in our solar system.', 'The almoner is in wyoming.', False)
('The chambermaid is living on earth.', 'The chambermaid is in wyoming.', False)
('The school crossing is living in north america.', 'The school crossing is in wyoming.', False)
('The gas fitter is writing in the united states of america.', 'The gas fitter is in wyoming.', False)
('The piano tuner is living in the universe.', 'The piano tuner is in mexico.', False)
('The train driver is watching movies in the milky way galaxy.', 'The train driver is in mexico.', False)
('The sound engineer is drawing in our solar system.', 'The sound engineer is in mexico.', False)
('The revenue officer is reading on earth.', 'The revenue officer is in mexico.', False)
('The stenographer is eating in north america.', 'The stenographer is in mexico.', False)
('The assistant caretaker is running in the universe.', 'The assistant caretaker is in canada.', False)
('The technical co-ordinator is running in the milky way galaxy.', 'The technical co-ordinator is in canada.', False)
('The student nurse is drinking in our solar system.', 'The student nurse is in canada.', False)
('The nursing manager is painting on earth.', 'The nursing manager is in canada.', False)
('The plastics consultant is reading in north america.', 'The plastics consultant is in canada.', False)
('The stone cutter is walking in the universe.', 'The stone cutter is in alberta.', False)
('The accountant is working in the milky way galaxy.', 'The accountant is in alberta.', False)
('The marine electrician is sculpting in our solar system.', 'The marine electrician is in alberta.', False)
('The auditor is sculpting on earth.', 'The auditor is in alberta.', False)
('The marketing manager is drawing in north america.', 'The marketing manager is in alberta.', False)
('The beauty therapist is watching movies in canada.', 'The beauty therapist is in alberta.', False)
('The builder is hanging out in the universe.', 'The builder is in british columbia.', False)
('The golf caddy is walking in the milky way galaxy.', 'The golf caddy is in british columbia.', False)
('The toll collector is writing in our solar system.', 'The toll collector is in british columbia.', False)
('The lime kiln attendant is writing on earth.', 'The lime kiln attendant is in british columbia.', False)
('The garage manager is working in north america.', 'The garage manager is in british columbia.', False)
('The glazier is hanging out in canada.', 'The glazier is in british columbia.', False)
('The assistant cook is living in the universe.', 'The assistant cook is in manitoba.', False)
('The booking agent is hanging out in the milky way galaxy.', 'The booking agent is in manitoba.', False)
('The project leader is watching movies in our solar system.', 'The project leader is in manitoba.', False)
('The transport controller is drawing on earth.', 'The transport controller is in manitoba.', False)
('The archaeologist is drinking in north america.', 'The archaeologist is in manitoba.', False)
('The cab driver is working in canada.', 'The cab driver is in manitoba.', False)
('The medical assistant is hanging out in the universe.', 'The medical assistant is in new brunswick.', False)
('The racing organiser is painting in the milky way galaxy.', 'The racing organiser is in new brunswick.', False)
('The produce supervisor is reading in our solar system.', 'The produce supervisor is in new brunswick.', False)
('The patrolman is hanging out on earth.', 'The patrolman is in new brunswick.', False)
('The vehicle technician is writing in north america.', 'The vehicle technician is in new brunswick.', False)
('The photographer is eating in canada.', 'The photographer is in new brunswick.', False)
('The refrigeration engineer is hanging out in the universe.', 'The refrigeration engineer is in newfoundland.', False)
('The station manager is living in the milky way galaxy.', 'The station manager is in newfoundland.', False)
('The gardener is drinking in our solar system.', 'The gardener is in newfoundland.', False)
('The trichologist is hanging out on earth.', 'The trichologist is in newfoundland.', False)
('The masseur is reading in north america.', 'The masseur is in newfoundland.', False)
('The sales administrator is running in canada.', 'The sales administrator is in newfoundland.', False)
('The greengrocer is painting in the universe.', 'The greengrocer is in nova scotia.', False)
('The aerial erector is dancing in the milky way galaxy.', 'The aerial erector is in nova scotia.', False)
('The english teacher is watching movies in our solar system.', 'The english teacher is in nova scotia.', False)
('The tour guide is painting on earth.', 'The tour guide is in nova scotia.', False)
('The masseur is drawing in north america.', 'The masseur is in nova scotia.', False)
('The funeral furnisher is reading in canada.', 'The funeral furnisher is in nova scotia.', False)
('The brewer is living in the universe.', 'The brewer is in ontario.', False)
('The wood cutter is running in the milky way galaxy.', 'The wood cutter is in ontario.', False)
('The sportsman is sculpting in our solar system.', 'The sportsman is in ontario.', False)
('The gallery owner is singing on earth.', 'The gallery owner is in ontario.', False)
('The bus valeter is running in north america.', 'The bus valeter is in ontario.', False)
('The showman is painting in canada.', 'The showman is in ontario.', False)
('The assistant caretaker is painting in the universe.', 'The assistant caretaker is in prince edward island.', False)
('The health advisor is painting in the milky way galaxy.', 'The health advisor is in prince edward island.', False)
('The health service is painting in our solar system.', 'The health service is in prince edward island.', False)
('The bus driver is sculpting on earth.', 'The bus driver is in prince edward island.', False)
('The marine geologist is eating in north america.', 'The marine geologist is in prince edward island.', False)
('The stage mover is running in canada.', 'The stage mover is in prince edward island.', False)
('The scrap dealer is hanging out in the universe.', 'The scrap dealer is in quebec.', False)
('The rug maker is living in the milky way galaxy.', 'The rug maker is in quebec.', False)
('The broadcaster is running in our solar system.', 'The broadcaster is in quebec.', False)
('The actress is running on earth.', 'The actress is in quebec.', False)
('The song writer is writing in north america.', 'The song writer is in quebec.', False)
('The laundry staff is running in canada.', 'The laundry staff is in quebec.', False)
('The china restorer is running in the universe.', 'The china restorer is in saskatchewan.', False)
('The pawnbroker is writing in the milky way galaxy.', 'The pawnbroker is in saskatchewan.', False)
('The statistician is painting in our solar system.', 'The statistician is in saskatchewan.', False)
('The technical engineer is painting on earth.', 'The technical engineer is in saskatchewan.', False)
('The golfer is living in north america.', 'The golfer is in saskatchewan.', False)
('The telecommunications is living in canada.', 'The telecommunications is in saskatchewan.', False)
('The lift attendant is singing in the universe.', 'The lift attendant is in greenland.', False)
('The salesman is hanging out in the milky way galaxy.', 'The salesman is in greenland.', False)
('The stockbroker is dancing in our solar system.', 'The stockbroker is in greenland.', False)
('The planning technician is eating on earth.', 'The planning technician is in greenland.', False)
('The saw miller is eating in north america.', 'The saw miller is in greenland.', False)
('The anthropologist is writing in the universe.', 'The anthropologist is in cuba.', False)
('The sales administrator is drinking in the milky way galaxy.', 'The sales administrator is in cuba.', False)
('The hairdresser is drawing in our solar system.', 'The hairdresser is in cuba.', False)
('The circus proprietor is watching movies on earth.', 'The circus proprietor is in cuba.', False)
('The sportsperson is working in north america.', 'The sportsperson is in cuba.', False)
('The speech therapist is singing in the universe.', 'The speech therapist is in panama.', False)
('The timber worker is running in the milky way galaxy.', 'The timber worker is in panama.', False)
('The valuer is hanging out in our solar system.', 'The valuer is in panama.', False)
('The tree surgeon is living on earth.', 'The tree surgeon is in panama.', False)
('The patent agent is drawing in north america.', 'The patent agent is in panama.', False)
('The slaughterman is watching movies in the universe.', 'The slaughterman is in jamaica.', False)
('The quarry worker is drawing in the milky way galaxy.', 'The quarry worker is in jamaica.', False)
('The studio manager is drinking in our solar system.', 'The studio manager is in jamaica.', False)
('The aircraft maintenance engineer is writing on earth.', 'The aircraft maintenance engineer is in jamaica.', False)
('The hgv driver is running in north america.', 'The hgv driver is in jamaica.', False)
('The promoter is sculpting in the universe.', 'The promoter is in belize.', False)
('The home economist is singing in the milky way galaxy.', 'The home economist is in belize.', False)
('The theatre manager is drinking in our solar system.', 'The theatre manager is in belize.', False)
('The rig worker is drinking on earth.', 'The rig worker is in belize.', False)
('The property developer is hanging out in north america.', 'The property developer is in belize.', False)
('The loss adjustor is working in the universe.', 'The loss adjustor is in south america.', False)
('The parts manager is living in the milky way galaxy.', 'The parts manager is in south america.', False)
('The landworker is hanging out in our solar system.', 'The landworker is in south america.', False)
